학년,출판사,교육과정,단원 번호,단원 명,의사소통 기능,prompt 수정 사항,어휘,문화,소재,Function Material 1,Function Material 2,Function Material 3,Function Material 4,Phonics
초4,YBM(김),2015 개정 교육과정,1,What’s Your Name?,"• 이름 묻고 답하기: What’s your name? - My name is Jiho.
• 다른 사람 소개하기: This is Khun.",,"class, English, friend, later, name, school, son, study, teacher (외래어) okay",여러 나라에서 성과 이름을 쓰는 순서,"학교생활, 교우 관계","[DESCRIPTION]

이름 묻고 답할 때 활용되는 표현.

[KEY_EXPRESSION]

A: What's your name?
B: My name is Sarah.

[SUB_EXPRESSION_1]

A: May I know your name?
B: My name is ().

[SUB_EXPRESSION_2]

A: What should I call you?
B: I am ().","[DESCRIPTION]

간단한 문장을 통해 다른 사람을 소개하기.

[KEY_EXPRESSION]

This is Minnie.

[SUB_EXPRESSION_1]

This is ().

[SUB_EXPRESSION_2]

That's ().",,,
초4,YBM(김),2015 개정 교육과정,2,Are You Happy?,"• 감정이나 상태 묻고 답하기: Are you happy? - Yes, I am. / No, I’m not.
• 사과하고 수용하기: I’m sorry. - It’s okay.",,"angry, basket, bottle, bring, hungry, lie, sad, thirsty, wolf",여러 나라 동화 속 등장인물의 감정 변화,"자연 현상, 예절 및 배려","[DESCRIPTION]

be ~? 패턴을 통해 감정이나 상태에 대해 묻고 답하기.

[KEY_EXPRESSION]

A: Are you cheerful?
B: Yes, I am.

[SUB_EXPRESSION_1]

A: Are you content?
B: Yes, I am.

[SUB_EXPRESSION_2]

A: Are you feeling well?
B: Yes, I am.","[DESCRIPTION]

간단한 표현을 사용하여 사과하고 이해하기.

[KEY_EXPRESSION]

A: I'm sorry.

[SUB_EXPRESSION_1]

A: I apologize.

[SUB_EXPRESSION_2]

A: Pardon me.",,,
초4,YBM(김),2015 개정 교육과정,3,Who Is He?,"• 누구인지 묻고 답하기: Who is he? - He’s my dad.
• 인물 묘사하기: He’s tall.",,"brother, cook, cut, cute, dad, handsome, he, house, she, sister, tall, who (외래어) melon",영어권 국가에서 형제자매를 부르는 말,"가정생활, 학교생활, 대인 관계, 다양한 문화권의 생활 양식","[DESCRIPTION]

Who is (), 표현을 활용해 상대방이 누구인지 묻고 답하기.

[KEY_EXPRESSION]

A: Who is she?
B: She's my teacher.

[SUB_EXPRESSION_1]

A: Who is that?
B: That's my ().

[SUB_EXPRESSION_2]

A: Who are they?
B: They're my ().","[DESCRIPTION]

키를 나타내는 표현를 활용해 인물 표현하기.

[KEY_EXPRESSION]

He’s tall.

[SUB_EXPRESSION_1]

He is (adjective).

[SUB_EXPRESSION_2]

She is (adjective).",,,
초4,YBM(김),2015 개정 교육과정,4,Let’s Play Baseball,"• 제안하고 이에 답하기: Let’s play baseball. - Sure. / Sorry, I can’t.
• 거절의 이유 나타내기: I’m busy.",,"back, baseball, basketball, busy, come, enjoy, 단원 번호, play, soccer, sure (외래어) badminton, piano, tennis, video, violin",여러 나라의 인기 스포츠,"개인 생활, 건강, 운동","[DESCRIPTION]

Let's ()를 활용해 제안하고 이에 답하기.

[KEY_EXPRESSION]

A: Let's play soccer!
B: Sure.

[SUB_EXPRESSION_1]

A: How about cycling this afternoon?
B: Alright!

[SUB_EXPRESSION_2]

A: Why don't we go fishing?
B: That sounds great!","[DESCRIPTION]

상대방의 요청이나 제안을 거절하는 이유를 간단하게 설명하기.

[KEY_EXPRESSION]

I'm focused at the moment.

[SUB_EXPRESSION_1]

I'm preoccupied with ().

[SUB_EXPRESSION_2]

I have other tasks to attend to.",,,
초4,YBM(김),2015 개정 교육과정,5,Is This Your Rocket?,"• 물건 주인 묻고 답하기: Is this your rocket? - Yes, it is. / No, it isn’t.
• 자신의 물건인지 아닌지 확인하기: It’s mine. / It’s not mine.",,"baby, ball, eraser, fast, find, glue, hat, kind, love, so (외래어) guitar, rocket",오늘날 우리가 자주 사용하는 물건이 발명된 유래,"학교생활, 교우 관계, 대인 관계, 배려, 과학(일반교양)","[DESCRIPTION]

소유격 표현을 이용해 물건의 주인 묻고 답하기.

[KEY_EXPRESSION]

A: Is this your ball?
B: Yes, it is.

[SUB_EXPRESSION_1]

A: Is this your ()?
B: Yes, it is.

[SUB_EXPRESSION_2]

A: Is this ((item)) yours?
B: No, it isn’t.","[DESCRIPTION]

소유격 대명사 구문을 활용하여 자신의 물건인지 아닌지 확인하기.

[KEY_EXPRESSION]

Is this yours? Yes, it's mine.

[SUB_EXPRESSION_1]

Is that yours? No, it's not mine.

[SUB_EXPRESSION_2]

Are these yours? Yes, they're mine.",,,
초4,YBM(김),2015 개정 교육과정,6,What Time Is It?,"• 시각 묻고 답하기: What time is it? - It’s eight o’clock.
• 무엇을 할 시간인지 나타내기: It’s time for breakfast.",,"bed, breakfast, dinner, for, lunch, night, o’clock, quiet, wake <eleven, twelve, twenty, thirty, forty> (외래어) drum",우리나라가 오후 9시일 때 다른 나라의 시각,"여가 선용, 개인 생활","[DESCRIPTION]

What time -을 활용해 시각을 묻고 답하기.

[KEY_EXPRESSION]

A: What time is it?
B: It's five o'clock.

[SUB_EXPRESSION_1]

A: Can you tell me the time?
B: It's () o'clock.

[SUB_EXPRESSION_2]

A: Do you know the current time?
B: It's () o'clock.","[DESCRIPTION]

It's time for ()를 활용해 무엇을 할 시간인지 나타내기.

[KEY_EXPRESSION]

It's time for dinner.

[SUB_EXPRESSION_1]

It’s time for lunch.

[SUB_EXPRESSION_2]

It’s time for ()",,,
초4,YBM(김),2015 개정 교육과정,7,It’s Under the Table,"• 물건의 위치 묻고 답하기: Where is my paper? - It’s in the box.
• 모르고 있음 표현하기: I don’t know.",,"chair, daughter, desk, in, know, on, paper, phone, table, under, where (외래어) bag, box, coat, fork, mask, party",여러 나라의 전통 가면,"교우 관계, 여가 선용, 심미적 상상 및 상상력 확장","[DESCRIPTION]

Where is ()? 을 활용해 물건의 위치를 묻고 답하기.

[KEY_EXPRESSION]

A: Where is my book?
B: It's on the table.

[SUB_EXPRESSION_1]

A: Where can I find my shoes?
B: They're under the bed.

[SUB_EXPRESSION_2]

A: Where did you put my bag?
B: It's beside the chair.","[DESCRIPTION]

I'm not sure를 활용해 자신의 모름을 표현하기.

[KEY_EXPRESSION]

I have no idea.

[SUB_EXPRESSION_1]

I’m not sure.

[SUB_EXPRESSION_2]

I can’t say for certain.",,,
초4,YBM(김),2015 개정 교육과정,8,Do You Want Some Ice Cream?,"• 음식 권하고 이에 답하기: Do you want some ice cream? - Yes, please. / No, thanks.
• 음식 권하기: Help yourself.",,"delicious, fish, fruit, full, hot, milk, rice, some, want, water (외래어) cake, chocolate, cream, pie, pizza, salad, soup",여러 나라의 디저트,교우 관계,"[DESCRIPTION]

권유 표현을 활용해 상대방이 음식이나 물건을 원하는지 묻고 답하기.

[KEY_EXPRESSION]

A: Would you like a slice of pizza?
B: No, thank you.

[SUB_EXPRESSION_1]

A: Do you care for some soup?
B: Yes, I'd like that.

[SUB_EXPRESSION_2]

A: How about some tea?
B: No, thanks.","[DESCRIPTION]

간단한 표현을 활용해 음식을 권유하기.

[KEY_EXPRESSION]

Enjoy the snacks.

[SUB_EXPRESSION_1]

Help yourself to some ().

[SUB_EXPRESSION_2]

Feel free to enjoy ().",,,
초4,YBM(김),2015 개정 교육과정,9,Can I Come In?,"• 허락 요청하고 이에 답하기: Can I come in? - Sure. / Sorry, you can’t.
• 권유하기: Go ahead.",,"ahead, beautiful, brush, doctor, fun, magic, smart, star, use, wait (외래어) camera",지구촌 공통 예절,"사회생활, 진로, 직업, 공중도덕, 예절","[DESCRIPTION]

질문 표현을 활용해 상대방에게 허락 요청하고 그에 대한 답변하기.

[KEY_EXPRESSION]

A: Can I stay here?
B: Sure.

[SUB_EXPRESSION_1]

A: May I sit down here?
B: Of course.

[SUB_EXPRESSION_2]

A: Would it be okay if I take this?
B: Sorry, you can't.","[DESCRIPTION]

간단한 표현을 활용해 상대방에게 권유하기.

[KEY_EXPRESSION]

You may proceed.

[SUB_EXPRESSION_1]

Feel free to go.

[SUB_EXPRESSION_2]

Proceed if you'd like.",,,
초4,YBM(김),2015 개정 교육과정,10,What Are You Doing?,"• 지금 하고 있는 일 묻고 답하기: What are you doing? - I’m reading a book.
• 기쁨 표현하기: That’s great!",,"at, draw, flower, picture, read, song, try (외래어) cup, robot",여러 나라의 박람회,"과학 등 일반교양, 예술 등 심미적 심성","[DESCRIPTION]

현재 진행형을 활용하여 지금 하고 있는 일 묻고 답하기.

[KEY_EXPRESSION]

A: What are you doing?
B: I'm painting a picture.

[SUB_EXPRESSION_1]

A: What are you busy with?
B: I am working on ().

[SUB_EXPRESSION_2]

A: What’s keeping you occupied?
B: I'm engaged in ().","[DESCRIPTION]

감정을 표현하기 위해 간단한 문구를 활용하기.

[KEY_EXPRESSION]

That's awesome!

[SUB_EXPRESSION_1]

That's amazing!

[SUB_EXPRESSION_2]

That's wonderful!",,,
초4,YBM(김),2015 개정 교육과정,11,"Put On Your Jacket, Please","• 요청하고 이에 답하기: Put on/Take off your jacket, please. - Okay.
• 사물의 길이 묘사하기: It’s long.",,"clean, long, mirror, off, pants, put, short, skirt, sock, take (외래어) dress, gown, jacket, scarf",여러 나라의 전통 의복,"예술 등 심미적 심성, 창의력, 상상력의 확장, 교우 관계","[DESCRIPTION]

상대방에게 요청을 하고 이에 답하는 간단한 표현을 활용해 대화 진행하기.

[KEY_EXPRESSION]

A: Could you take off your hat, please?
B: Sure.

[SUB_EXPRESSION_1]

A: Would you put on your shoes, please?
B: Certainly.

[SUB_EXPRESSION_2]

A: Please take off your backpack.
B: No problem.","[DESCRIPTION]

길이 관련 형용사를 활용해 사물의 특징 묘사하기.

[KEY_EXPRESSION]

It's short.

[SUB_EXPRESSION_1]

It's wide.

[SUB_EXPRESSION_2]

It's narrow.",,,
초4,YBM(김),2015 개정 교육과정,12,How Much Is It?,"• 가격 묻고 답하기: How much is it? - It’s nine hundred won.
• 도움 제안하고 이에 답하기: Can I help you? - Yes, please.",,"bat, buy, cool, fan, glove, hundred, thousand",여러 나라의 벼룩시장,"대인 관계, 우리 문화와 생활 양식 소개, 경제 활동","[DESCRIPTION]

How much를 활용해 가격 묻고 답하기.

[KEY_EXPRESSION]

A: How much is this item?
B: It's twelve fifty.

[SUB_EXPRESSION_1]

A: What does this cost?
B: It's ().

[SUB_EXPRESSION_2]

A: What's the price of this?
B: It's ().","[DESCRIPTION]

Can I help you?라는 표현을 통해 상대방에게 도움을 제안하고 이에 답하기.

[KEY_EXPRESSION]

A: Can I assist you?
B: Certainly, thank you.

[SUB_EXPRESSION_1]

A: May I help you?
B: Sure, please.

[SUB_EXPRESSION_2]

A: Do you need assistance?
B: Yes, please.",,,
초4,YBM(김),2015 개정 교육과정,13,What Day Is It?,"• 요일 묻고 답하기: What day is it? - It’s Monday.
• 확인 요청하기: Are you sure?",,"art, bowl, day, stop, today, <Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday> (외래어) market, spaghetti",요일과 관련 있는 여러 나라의 기념일,"배려, 봉사, 가정생활, 학교생활","[DESCRIPTION]

요일을 표현하는 단어를 활용해 현재 요일 묻고 답하기.

[KEY_EXPRESSION]

A: What day is it today?
B: It’s Thursday.

[SUB_EXPRESSION_1]

A: Can you tell me the day today?
B: It’s ().

[SUB_EXPRESSION_2]

A: Do you know what day it is?
B: Oh, it’s ().","[DESCRIPTION]

확인을 요청하는 표현을 활용해 상대방의 의견 또는 결정 확인하기.

[KEY_EXPRESSION]

Are you confident?

[SUB_EXPRESSION_1]

Do you believe in ()?

[SUB_EXPRESSION_2]

Is it true that ()?",,,
초4,YBM(최),2015 개정 교육과정,1,How Are You?,"• 때에 알맞은 인사말 하기: Good morning.
• 안부 묻기와 답하기: How are you? - I’m fine, thanks.",,"morning, afternoon, evening, fine, good, very, well",세계 공통 예절,"사회생활, 인사, 글로벌 에티켓","[DESCRIPTION]

하루의 시간대에 알맞은 인사말을 활용해 인사하기.

[KEY_EXPRESSION]

Good morning!

[SUB_EXPRESSION_1]

Good afternoon!

[SUB_EXPRESSION_2]

Good evening!","[DESCRIPTION]

상대의 안부를 묻고 답하기를 통해 예의 바른 대화 시작하기.

[KEY_EXPRESSION]

A: How are you?
B: I'm doing well, thanks.

[SUB_EXPRESSION_1]

A: How is it going?
B: I'm feeling ().

[SUB_EXPRESSION_2]

A: What's up?
B: Everything is ().",,,
초4,YBM(최),2015 개정 교육과정,2,This Is Kate,"• 다른 사람 소개하기: This is my friend.
• 처음 만났을 때 하는 인사와 이에 답하는 말: Nice to meet you. - Nice to meet you, too.",,"friend, grandma, grandpa, teacher, nice, meet, to",여러 나라의 전통 놀이,학교생활과 교우 관계,"[DESCRIPTION]

This is ()를 이용하여 다른 사람 소개하기.

[KEY_EXPRESSION]

This is my teacher.

[SUB_EXPRESSION_1]

This is my classmate.

[SUB_EXPRESSION_2]

This is my neighbor.","[DESCRIPTION]

상대방과 처음 만났을 때 예의 있게 인사하고 이에 답하는 표현 활용하기.

[KEY_EXPRESSION]

[DESCRIPTION] 처음 만났을 때 하는 인사와 이에 답하는 말

[SUB_EXPRESSION_1]

Hello! - It's great to meet you!

[SUB_EXPRESSION_2]

How do you do? - Pleased to meet you, too.",,,
초4,YBM(최),2015 개정 교육과정,3,Where Is My Watch?,"• 물건의 위치를 묻고 답하기: Where is my watch? - It’s in the box.
• 반복 요청하기: Sorry?",,"bed, cookie, desk, doll, potato, scarf, table, tree, watch, where, in, on, under",여러 나라의 모자,"가정생활, 자연 과학","[DESCRIPTION]

상대방과 물건의 위치를 묻고 답하기.

[KEY_EXPRESSION]

A: Where is my bag?
B: It's on the table.

[SUB_EXPRESSION_1]

A: Where is my phone?
B: It's near the ()

[SUB_EXPRESSION_2]

A: Where are my glasses?
B: They are on the ()","[DESCRIPTION]

다양한 표현을 활용해 상대방에게 반복 요청하기.

[KEY_EXPRESSION]

Can you repeat that, please?

[SUB_EXPRESSION_1]

Could you say that again?

[SUB_EXPRESSION_2]

Pardon?",,,
초4,YBM(최),2015 개정 교육과정,4,Are You Okay?,"• 기쁨 표현하기: I’m happy.
• 슬픔 표현하기: I’m sad.
• 기분이나 상태를 묻고 답하기: Are you okay? - Yes, I am. / No, I’m not.",,"full, happy, hungry, okay, sad, tired, cheer, job, right, all",여러 나라의 민요,학교생활과 교우 관계,"[DESCRIPTION]

기쁨을 나타낼 때 사용할 수 있는 간단한 표현 활용하기.

[KEY_EXPRESSION]

I'm thrilled!

[SUB_EXPRESSION_1]

I'm excited!

[SUB_EXPRESSION_2]

I'm overjoyed!","[DESCRIPTION]

감정을 나타내는 표현을 활용해 슬픔 표현하기.

[KEY_EXPRESSION]

I feel down.

[SUB_EXPRESSION_1]

I am feeling blue.

[SUB_EXPRESSION_2]

I feel upset.","[DESCRIPTION]

현재 상태를 확인하고 응답하는 표현에 대해 배우기.

[KEY_EXPRESSION]

A: Are you feeling well?
B: Yes, I am. / No, I'm not.

[SUB_EXPRESSION_1]

A: Are you all right?
B: Yes, I am. / No, I'm not.

[SUB_EXPRESSION_2]

A: Do you feel okay?
B: Yes, I am. / No, I'm not.",,
초4,YBM(최),2015 개정 교육과정,5,What Time Is It?,"• 시각 묻고 답하기: What time is it? - It’s 8 o’clock.
• 시각에 따른 일과를 나타내기: It’s time for breakfast.",,"time, bed, breakfast, lunch, dinner, school, for, late, o’clock, there, wake, about",세계 여러 나라의 표준시,학교생활과 교우 관계,"[DESCRIPTION]

시각을 물어보고 대답하기 위한 What time is it? 문장을 통해 시간 표현에 익숙해지기.

[KEY_EXPRESSION]

A: What time is it?
B: It's 7 o'clock.

[SUB_EXPRESSION_1]

A: What's the time?
B: It's () o'clock.

[SUB_EXPRESSION_2]

A: Do you know the time?
B: It's () o'clock.","[DESCRIPTION]

It's time for ()를 활용해 시각에 따른 일과를 나타내기.

[KEY_EXPRESSION]

It's time for school.

[SUB_EXPRESSION_1]

It's time for lunch.

[SUB_EXPRESSION_2]

It's time for bed.",,,
초4,YBM(최),2015 개정 교육과정,6,Let’s Play Badminton,"• 제안·권유하고 답하기: Let’s play badminton. - Okay. / Sounds good. / Sorry, I can’t. I’m busy.
• 동의하기: Me, too.",,"badminton, baseball, soccer, kite, play, fly, sound, together, fun, busy, day",여러 나라의 대중적인 운동,"여가 선용, 학교생활과 교우 관계","[DESCRIPTION]

Let's ()을 활용하여 제안·권유하고 이에 응답하기.

[KEY_EXPRESSION]

A: Let's go swimming.
B: Sure, that sounds great.

[SUB_EXPRESSION_1]

A: Why don’t we try ()?
B: Yeah, I’d like that.

[SUB_EXPRESSION_2]

A: How about we enjoy ()?
B: I'm unable to join because ().","[DESCRIPTION]

상대방의 의견이나 취향에 동의할 때 Me, too.를 활용해 간단히 표현하기.

[KEY_EXPRESSION]

Me, too.

[SUB_EXPRESSION_1]

So do I.

[SUB_EXPRESSION_2]

I feel the same way.",,,
초4,YBM(최),2015 개정 교육과정,7,What Are You Doing?,"• 상대방이 지금 하고 있는 행동 묻고 답하기: What are you doing? - I’m drawing a picture.
• 다른 사람이 지금 하고 있는 행동 묻고 답하기: What is Jimin doing? - She’s listening to music.",,"draw, listen, read, house, music, picture, TV, violin",여러 나라의 생일 축하 문화,"가정생활, 여가 선용","[DESCRIPTION]

'be ()ing'를 활용해 상대방이 지금 하고 있는 행동 묻고 답하기.

[KEY_EXPRESSION]

A: What are you doing?
B: I’m making a drawing.

[SUB_EXPRESSION_1]

A: What are you up to?
B: I’m currently ().

[SUB_EXPRESSION_2]

A: What’s happening?
B: I’m busy ().","[DESCRIPTION]

be ()ing를 활용해 다른 사람이 지금 하고 있는 행동 묻고 답하기.

[KEY_EXPRESSION]

A: What is your friend doing?
B: She's watching television.

[SUB_EXPRESSION_1]

A: What is he doing?
B: He's ()ing.

[SUB_EXPRESSION_2]

A: What is she up to?
B: She's currently ()ing.",,,
초4,YBM(최),2015 개정 교육과정,8,What Do You Want?,"• 원하는 것 묻고 답하기: What do you want? - I want some potatoes.
• 음식을 권하고 수락하는 말 하기: Do you want some water? - Yes, please.",,"bread, carrot, curry, milk, apple pie, potato, rice, water, some, want, write",여러 나라의 간식,의식주와 대인 관계,"[DESCRIPTION]

want 표현을 활용해 원하는 것 묻고 답하기.

[KEY_EXPRESSION]

A: What do you wish to have?
B: I would like some fruits.

[SUB_EXPRESSION_1]

A: What are you looking for?
B: I want some ().

[SUB_EXPRESSION_2]

A: What would you like?
B: I need some ().","[DESCRIPTION]

Would you like~?를 활용해 음식을 권하고 수락하는 대화하기.

[KEY_EXPRESSION]

A: Would you like some juice?
B: Yes, sure.

[SUB_EXPRESSION_1]

A: Do you want some cake?
B: Sure.

[SUB_EXPRESSION_2]

A: Would you care for some tea?
B: Yes, please.",,,
초4,YBM(최),2015 개정 교육과정,9,What Day Is It Today?,"• 요일 묻고 답하기: What day is it today? - It’s Monday.
• 기쁨 표현하기: That’s great!",,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, art, basketball, class, cook, watermelon, ladybug",여러 나라의 요일 표기 방법,"학교생활과 교우 관계, 여가 선용","[DESCRIPTION]

요일을 묻고 답할 때, What day is ()를 활용하기.

[KEY_EXPRESSION]

A: What day is today?
B: It’s Wednesday.

[SUB_EXPRESSION_1]

A: What is the day?
B: It’s ().

[SUB_EXPRESSION_2]

A: What weekday is it?
B: Today is ().","[DESCRIPTION]

감정 표현에 사용되는 기쁨 표현하기.

[KEY_EXPRESSION]

That's awesome!

[SUB_EXPRESSION_1]

That's fantastic!

[SUB_EXPRESSION_2]

That's wonderful!",,,
초4,YBM(최),2015 개정 교육과정,10,Is This Your Cap?,"• 물건의 주인이 맞는지 묻고 답하기: Is this your cap? - Yes, it is. / No, it isn’t.
• 자기 물건의 특징 말하기: Mine is red.",,"cap, coat, hat, scarf, shirt, skirt, brown, pink",세계 여러 나라의 전통 의상,사회생활과 대인 관계,"[DESCRIPTION]

be 동사를 활용해 물건의 주인이 맞는지 묻고 답하기.

[KEY_EXPRESSION]

A: Is this your bag?
B: Yes, it is.

[SUB_EXPRESSION_1]

A: Is this your (item)?
B: Yes, it is.

[SUB_EXPRESSION_2]

A: Is (item) yours?
B: No, it isn’t.","[DESCRIPTION]

소유격 표현을 활용해 자기 물건의 특징 말하기.

[KEY_EXPRESSION]

Mine is green.

[SUB_EXPRESSION_1]

The one I have is ().

[SUB_EXPRESSION_2]

My item appears ().",,,
초4,YBM(최),2015 개정 교육과정,11,Touch Your Feet,"• 동작 지시하기: Touch your feet.
• 도움 요청하기: Can you help me?",,"head, shoulder, arm, hand, leg, foot, stretch, shake, touch, warm",여러 나라의 전통 춤,"학교생활, 교우 관계, 여가 선용, 협력","[DESCRIPTION]

명령문을 활용해 특정 동작 수행 지시하기.

[KEY_EXPRESSION]

Stand on one leg.

[SUB_EXPRESSION_1]

Jump in the air.

[SUB_EXPRESSION_2]

Raise your hand.","[DESCRIPTION]

Can you ()? 표현을 활용해 도움 요청하기.

[KEY_EXPRESSION]

Can you assist me?

[SUB_EXPRESSION_1]

Could you help me with ()?

[SUB_EXPRESSION_2]

Would you mind helping me with ()?",,,
초4,YBM(최),2015 개정 교육과정,12,Do You Like Fishing?,"• 좋아하는 여가 활동 묻고 답하기: Do you like fishing? - Yes, I do. / No, I don’t. I like camping.
• 느낌 표현하기: It’s fun. / It’s exciting.",,"camping, cooking, fishing, painting, exciting, fun",세계적으로 유명한 대회,"여가 활동, 학교 생활, 취미","[DESCRIPTION]

do you like-? 을 활용해 취미 활동에 대해 긍정부정 의사 표현 연습하기.

[KEY_EXPRESSION]

A: Do you enjoy swimming?
B: Yes, I do. / No, I don’t. I like baking.

[SUB_EXPRESSION_1]

A: Do you like hiking?
B: Yes, I do. / No, I don’t. I enjoy ().

[SUB_EXPRESSION_2]

A: Are you into crafting?
B: Yes, I am. / No, I’m not. I enjoy ().","[DESCRIPTION]

It's ()를 활용해 감정이나 느낌 표현하기.

[KEY_EXPRESSION]

It’s enjoyable.

[SUB_EXPRESSION_1]

It’s fascinating.

[SUB_EXPRESSION_2]

It’s amusing.",,,
초5,YBM(김),2015 개정 교육과정,1,How’s It Going?,"• 안부 묻고 답하기: How’s it going? — I’m fine.
• 질문 되묻기: How about you?",,"about, again, airplane, bad, boy, fine, tired, tree (외래어) badminton, okay, pizza",여러 나라의 새 학년이 시작되는 시기,"학교생활과 교우 관계, 개인 생활","[DESCRIPTION]

How’s it going?을 활용해 안부 묻고 답하기.

[KEY_EXPRESSION]

How are you doing? — I'm doing well.

[SUB_EXPRESSION_1]

How have you been? — I've been doing well.

[SUB_EXPRESSION_2]

How’s everything? — Everything is good.","[DESCRIPTION]

상대방이 말한 주제에 대해 동일한 질문을 되묻기.

[KEY_EXPRESSION]

How about you?

[SUB_EXPRESSION_1]

What about you?

[SUB_EXPRESSION_2]

And yourself?",,,
초5,YBM(김),2015 개정 교육과정,2,I’m in the Kitchen,"• 사람의 위치 묻고 답하기: Where are you? — I’m in the bedroom.
• 도움 요청하고 이에 답하기: Can you help me, please? — Sure.","[DESCRIPTION]

be 동사를 활용해 사람의 위치와 장소에 대해 묻고 답하기.","bathroom, bedroom, family, kitchen, living room, room, sleep, talk, with (외래어) cake, sandwich",여러 나라의 전통 가옥,"창의력, 상상력 확장, 가정생활, 의식주","[DESCRIPTION]

의문사 Where를 활용해 사람의 위치 묻고 답하기.

[KEY_EXPRESSION]

A: Where are you?
B: I'm in the living room.

[SUB_EXPRESSION_1]

A: Where is he?
B: He's in the () room.

[SUB_EXPRESSION_2]

A: Where are they?
B: They're in the () area.","[DESCRIPTION]

정중한 표현을 사용하여 도움을 요청하고 이에 적절히 답하기.

[KEY_EXPRESSION]

[DESCRIPTION] 다시 요청 및 이에 답하기

[SUB_EXPRESSION_1]

Could you assist me, please? — Certainly.

[SUB_EXPRESSION_2]

Would you mind helping me out? — Absolutely.",,,
초5,YBM(김),2015 개정 교육과정,3,Whose Balloon Is This?,"• 물건의 주인이 누구인지 묻고 답하기: Whose balloon is this? — It’s Dave’s.
• 물건의 주인에 대한 정보 수정하기: No. It’s Dave’s fork.",,"balloon, bicycle, paint, ride, sandwich, tell, vegetable (외래어) cheese, fork, guitar, juice",여러 나라의 전통 모자,"자원과 에너지, 환경 보전, 학교생활과 교우 관계","[DESCRIPTION]

Whose의 소유격 의문사를 활용해 물건의 주인이 누구인지 묻고 답하기.

[KEY_EXPRESSION]

A: Whose bag is this?
B: It's Donna's.

[SUB_EXPRESSION_1]

A: To whom does this belong?
B: It's ()'s.

[SUB_EXPRESSION_2]

A: Whose item is this?
B: Belongs to ().","[DESCRIPTION]

물건의 소유권에 대한 정보를 설명하는 문장 구성 활용하기.

[KEY_EXPRESSION]

No, it's Sarah's pen.

[SUB_EXPRESSION_1]

No, it's Alex's ()

[SUB_EXPRESSION_2]

No, it's Mike's ()",,,
초5,YBM(김),2015 개정 교육과정,4,Let’s Go Camping,"• 제안하기: Let’s go camping.
• 전화받기: Hello?",,"boat, camping, holiday, into, movie, need, plan, shopping, sink, there (외래어) Internet, tent",여러 나라의 유명한 캠핑지,"가정생활, 여가 선용, 예절, 교우 관계","[DESCRIPTION]

Let's 표현을 통해 제안하기.

[KEY_EXPRESSION]

Let's go hiking.

[SUB_EXPRESSION_1]

Let's have a picnic.

[SUB_EXPRESSION_2]

Let's visit the park.","[DESCRIPTION]

전화 시작시 사용되는 인사말 표현을 활용하기.

[KEY_EXPRESSION]

Hello, this is Mia speaking.

[SUB_EXPRESSION_1]

Hi, this is Alex.

[SUB_EXPRESSION_2]

Hello, you've reached ().",,,
초5,YBM(김),2015 개정 교육과정,5,I Want an Airplane,"• 바라는 것 묻고 답하기: What do you want for Children’s Day? — I want an airplane.
• 선물 주며 표현하기: This is for you.",,"child, choose, give, helicopter, next, puppy, rabbit, show, tomorrow (외래어) card, comic, cream, dress",여러 나라의 어린이날,"가정생활, 대인 관계","[DESCRIPTION]

want를 활용해 바라는 것 묻고 답하기.

[KEY_EXPRESSION]

What would you like for your birthday? — I would like a car.

[SUB_EXPRESSION_1]

What do you wish to have for ()? — I would like ().

[SUB_EXPRESSION_2]

What gift would you choose for ()? — I want ().","[DESCRIPTION]

This is for you라는 표현을 통해 선물을 줄 때의 마음을 전달하기.

[KEY_EXPRESSION]

Here is something for you!

[SUB_EXPRESSION_1]

This is a gift for ().

[SUB_EXPRESSION_2]

I have something for ().",,,
초5,YBM(김),2015 개정 교육과정,6,What Does He Do?,"• 직업 묻고 답하기: What does he do? — He’s a nurse.
• 모르고 있음 표현하기: I have no idea.",,"care, farmer, grow, idea, nurse, people, plant, sick, sky, uncle, write",여러 나라 유명인의 다양한 직업,"학교생활, 진로, 가정생활, 여가 선용","[DESCRIPTION]

직업 관련 질문에 대한 답변을 활용해 직업 묻고 답하기.

[KEY_EXPRESSION]

A: What does she do?
B: She's a teacher.

[SUB_EXPRESSION_1]

A: What is his job?
B: He’s a ().

[SUB_EXPRESSION_2]

A: What is her profession?
B: She’s a ().","[DESCRIPTION]

have no idea를 활용해 모르고 있는 상태 표현하기.

[KEY_EXPRESSION]

I don't know.

[SUB_EXPRESSION_1]

I have no clue.

[SUB_EXPRESSION_2]

I am not sure.",,,
