학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"색깔을 묻고 답하는 방법을 배워요.
‘What color is this?’ 와 같은 표현을 사용하여 색깔에 대해 물어보고 대답할 수 있어요.",B: It's ____.,B: 파란색이야.,red,blue,green,blue,2,B: It's ____.,B: 빨간색이야.,purple,red,blue,red,2,A: What color is this? B: It's green. A: What shade is that? B: It's yellow. A: Can you tell me the color? B: It is yellow.,A: 이거 무슨 색이야? B: 초록색이야. A: 저건 무슨 빛깔이야? B: 노란색이야. A: 색깔을 말해줄래? B: 노란색이야.
"물건을 가지고 있는지 묻고 답할 수 있어요.
Ask and answer if someone has something using 'Do you have ()?'","A: ___ a marker? B: Yes, I do.","A: 마커 있어? B: 응, 있어.",Have you got,Do you have,Do you own,Do you have,2,"A: Do you ___ a pen? B: Yes, I do.","A: 너는 펜을 소유하고 있니? B: 응, 소유하고 있어.",possess,own,use,own,2,"A: Do you have a notebook? B: Yes, I do. A: Do you own a backpack? B: No, I don't.","A: 노트북 있어? B: 응, 있어. A: 너는 백팩을 소유하고 있니? B: 아니, 없어."
"할 수 있는지를 묻고 대답하는 표현을 사용할 수 있어요.
You can ask and answer questions about abilities using 'Can you ()?'.","A: Can you ___? B: Yes, I can.",너는 점프할 수 있니?,swim,jump,run,jump,2,"A: Are you able to ___? B: Yes, I can.",너는 점프할 수 있니?,fly,jump,dance,jump,2,"A: Can you swim? B: Yes, I can. A: Are you able to dive? B: Yes, I can.","A: 너 수영할 수 있니? B: 응, 할 수 있어. A: 다이빙 할 수 있니? B: 응, 할 수 있어."
"동물의 크기를 묘사할 수 있어요.
You can describe the size of animals using 'be + adjective'.",It's ______.,그것은 크다.,small,large,tiny,large,2,It's ______.,그것은 거대하다.,big,huge,tiny,huge,2,"A: That lion is large. B: Indeed, it's enormous!","A: 저 사자는 크다. B: 그래, 정말 거대하다!"
"누구인지 묻고 답할 수 있어요.
Can ask and answer questions about someone's identity using 'Who is ()?'.",She's my ___.,그녀는 내 선생님이야.,doctor,student,teacher,teacher,3,They're my ___.,그들은 내 선생님이야.,friend,teacher,classmate,teacher,2,A: Who is he? B: He's my coach. A: Who are they? B: They are my teammates.,A: 그는 누구야? B: 그는 내 코치야. A: 그들은 누구야? B: 그들은 내 팀원이야.
"날씨에 대해 묻고 대답할 수 있어요.
You can ask and answer questions about the weather using 'How's the weather?'",How's the ______?,날씨는 어때?,time,weather,food,weather,2,A: What's the weather like today? B: It's chilly. A: Is it ______ outside? B: It's windy.,A: 오늘 날씨 어때? B: 쌀쌀해. A: 밖은 맑아? B: 바람이 분다.,rainy,sunny,cloudy,sunny,2,"A: How's the weather today? B: It's sunny. A: I hope it stays sunny all day. B: Me too, I love sunny weather.","A: 오늘 날씨 어때? B: 화창해. A: 하루 종일 화창하길 바래. B: 나도 그래, 화창한 날씨가 좋아."
"간단한 인사말로 사람을 만날 때 인사를 할 수 있어요.
만나거나 헤어질 때 올바른 인사말을 사용할 수 있어요.",___ there!,안녕하세요!,Hi,Hello,Goodbye,Hello,2,___! ___!,안녕! 잘 가!,Goodbye! Hi!,Hi! Goodbye!,Hello! Bye!,Hi! Goodbye!,2,A: Hello there! Welcome to the park. B: Hi! See you soon.,A: 안녕하세요! 공원에 오신 것을 환영해요. B: 안녕! 곧 봐요.
"사물의 이름을 묻고 답할 수 있어요.
You can ask and answer the names of objects using 'What's this/that?'.",A: What's that? B: It's a ___.,A: 저게 뭐야? B: 이건 마커야.,pencil,marker,pen,marker,2,A: What is this? B: It's a ___.,A: 이게 뭐야? B: 이건 펜이야.,ruler,pen,scissors,pen,2,A: What's that? B: It's a ruler. A: What is this? B: It's a book.,A: 저게 뭐야? B: 이건 자야. A: 이게 뭐야? B: 이건 책이야.
"명령문을 사용하여 지시하고 응답할 수 있어요.
You can use imperative expressions to give instructions and respond.","A: ___, please. B: Alright.","A: 앉으세요, 제발. B: 알겠어요.",Stand up,Please wait,Sit down,Sit down,3,"A: ___, please. B: Sure. A: Please wait. B: Okay.","A: 일어나세요, 제발. B: 좋아요. A: 잠시만 기다리세요. B: 네.",Stand up,Sit down,Keep still,Stand up,1,"A: Please have a seat, thank you. B: Sure thing. A: After a moment, stand up slowly, please. B: Will do.","A: 자리에 앉으세요, 감사합니다. B: 알겠습니다. A: 잠시 후에, 천천히 일어나세요, 제발. B: 그렇게 할게요."
"간단한 확인 질문 및 답변 표현을 사용할 수 있어요.
Be able to ask and respond using the 'Is it ()?' pattern.","A: Is it ___? B: Yes, it is.","이것이 새인가요? 네, 그렇습니다.",a plane,a bird,a fish,a bird,2,"A: Is it a bird? B: Yes, it is. A: Could that be ___? B: Yes, it is.","이것이 새인가요? 네, 그렇습니다. 이게 새일 수도 있나요? 네, 그렇습니다.",a toy,a bird,a plane,a bird,2,"A: Is it a dog? B: Yes, it is. A: Could that be a puppy? B: Yes, it is.","A: 이것은 개인가요? B: 네, 맞아요. A: 혹시 강아지일까요? B: 네, 맞습니다."
"좋아하는 음식을 물어보고 대답할 수 있어요.
You can ask and answer questions about food preferences using 'Do you like ()?'","A: ___? B: Yes, I do.","A: 쿠키를 좋아하니? B: 응, 좋아해.",Do you eat cookies,Do you like cookies,Do you make cookies,Do you like cookies,2,"A: Do you like cookies? B: Yes, I do. A: ___? B: No, I'm not.","A: 쿠키를 좋아하니? B: 응, 좋아해. A: 쿠키의 팬이니? B: 아니, 아니야.",Are you a fan of cookies,Are you a fan of cakes,Do you like cookies,Are you a fan of cookies,1,"A: Do you like pasta? B: Yes, I do. A: Are you a fan of pasta? B: No, I'm not.","A: 파스타를 좋아하니? B: 응, 좋아해. A: 파스타의 팬이니? B: 아니, 아니야."
"이 수업을 통해 'How many'를 사용하여 개수를 묻고 답할 수 있어요.
'How many ()?' 패턴을 활용해 다양한 사물의 개수를 물어보는 법을 배워요.",A: ___ many apples do you have? B: I have three apples.,A: 사과가 몇 개인지 물어봐. B: 나는 사과가 세 개 있어.,How much,What many,How many,How many,3,B: There are ___ books.,B: 책이 다섯 권 있어요.,six,five,four,five,2,A: How many oranges do you have? B: I have two oranges. A: How many pencils are there on the desk? B: There are three pencils.,A: 오렌지가 몇 개 있어요? B: 나는 오렌지를 두 개 가지고 있어요. A: 책상 위에 연필이 몇 자루 있어요? B: 연필이 세 자루 있어요.
"'Can'을 사용하여 능력을 묻는 표현을 익힐 수 있어요.
'Can'을 활용해 누군가의 능력을 물어보고 대답할 수 있어요.","A: Can you ___? B: Yes, I can.",너는 그릴 수 있어?,sing,draw,dance,draw,2,"A: Are you able to ___? B: Yes, I am.",너는 할 수 있는지 물어보는 표현이야.,draw,paint,write,draw,1,"A: Can you cook? B: Yes, I can. A: Are you able to cook? B: Yes, I am. A: Do you know how to cook? B: No, I don't.","A: 너 요리할 수 있어? B: 응, 할 수 있어. A: 너 요리할 줄 알아? B: 아니, 몰라."
"물건을 가지고 있는지를 묻고 답할 수 있어요.
Do you have ()?를 사용하여 물건 보유 여부에 대해 질문하고 대답할 수 있어요.","A: Do you have a ___? B: Yes, I do. / No, I don't.","A: 연필이 있니? B: 응, 있어. / 아니, 없어.",book,pencil,pen,pencil,2,"A: Do you own a ___? B: Yes, I do. / No, I don't. A: Do you possess a ___? B: Yes, I do. / No, I don't.","A: 연필을 소유하고 있니? B: 응, 있어. A: 연필을 소지하고 있니? B: 응, 있어.",notebook,pencil,eraser,pencil,2,"A: Do you have a marker? B: Yes, I do. A: Do you own a crayon? B: No, I don't.","A: 마커가 있니? B: 응, 있어. A: 크레용을 가지고 있니? B: 아니, 없어."
"감정이나 상태를 묻고 대답하는 표현을 사용할 수 있어요.
You can ask and answer about feelings or states using the 'Are you ()?' pattern.","Q: Are you ___? A: Yes, I am.",너 신나니?,tired,excited,sad,excited,2,"Q: Are you ___? A: Yes, I am.",너 만족하니?,happy,content,calm,content,2,"A: Are you excited about the concert? B: Yes, I am. A: Are you feeling well after the show? B: No, I'm not.","A: 콘서트에 신나니? B: 응, 그래. A: 공연 후에 몸이 괜찮니? B: 아니, 별로야."
"사용자를 소개하는 표현을 활용할 수 있어요.
상대방이 누구인지 묻고 자신의 관계를 설명할 수 있어요.",A: Who's he? B: He's my ____.,A: 이 사람 누구야? B: 내 삼촌이야.,brother,uncle,aunt,uncle,2,B: She's my ____.,B: 이 사람은 내 이모야.,mother,aunt,sister,aunt,2,A: Who's he? B: He's my brother. A: Who is she? B: She's my best friend.,A: 이 사람 누구야? B: 내 동생이야. A: 저 사람 누구세요? B: 내 가장 친한 친구야.
"색깔을 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer about colors using 'What color is ...?' and 'It’s ...' expressions.",B: It's ____.,B: 빨간색이야.,green,red,blue,red,2,A: What color is this? B: It’s ____.,A: 이거 무슨 색이야? B: 파란색이야.,blue,purple,green,blue,1,A: What color is the bike? B: It's yellow. A: Do you know the color of the backpack? B: It is green.,A: 자전거는 무슨 색이야? B: 노란색이야. A: 가방의 색이 뭐야? B: 초록색이야.
"날씨 상태를 묻고 대답하는 표현을 사용할 수 있어요.
You can ask and answer questions about the weather using ""How's the weather?"".",B: It's ______.,B: 비가 와요.,sunny,rainy,cloudy,rainy,2,A: How is it outside? B: It's ______.,A: 바깥은 어때? B: 비가 와요.,warm,sunny,rainy,rainy,3,A: How's the weather today? B: It's rainy. A: How do you feel about the weather? B: I think it's a perfect day for coffee.,A: 오늘 날씨 어때? B: 비가 와요. A: 날씨에 대해 어떻게 생각해? B: 커피 마시기 딱 좋은 날씨라고 생각해.
"만날 때와 헤어질 때 사용할 수 있는 간단한 인사 표현을 사용할 수 있어요.
Learn simple greeting expressions for meeting and parting.",___! How are you?,안녕! 잘 지냈어?,Bye!,Hi!,Howdy!,Hi!,2,___! See you later!,좋은 아침이야! 나중에 봐.,Good evening!,Good morning!,Howdy!,Good morning!,2,A: Hello! It's wonderful seeing you this morning. B: Hi! I've been looking forward to our meet-up. A: Goodbye! Take care and see you soon. B: See you later!,A: 안녕! 오늘 아침에 만나서 정말 반가워. B: 안녕! 네가 오길 기다렸어. A: 잘 가! 조심히 가고 곧 보자. B: 나중에 봐.
"물건이 무엇인지 묻고 답할 수 있어요.
Learn to ask and answer questions about objects.",A: ___ this? B: It's a doll.,이게 뭐야? 인형이야.,Where's,What's,Who's,What's,2,"A: Is this a ___? B: Yes, it is.","이것은 인형이니? 응, 맞아.",book,doll,pen,doll,2,"A: What’s that? B: It’s a book. A: Is that a book? B: Yes, it is.","A: 저것은 뭐야? B: 책이야. A: 저것은 책이니? B: 응, 맞아."
"요청할 때 사용할 수 있는 표현을 익힐 수 있어요.
Learn expressions for making requests.","A: ___ up, please. B: Sure.",A: 일어나 주세요. B: 네.,Sit,Stand,Jump,Stand,2,"A: ___ down, please. B: Okay.",A: 앉아 주세요. B: 알겠어요.,Stand,Lie,Sit,Sit,3,A: Please stand up now. B: Sure thing. A: Please sit down quietly. B: Okay then.,A: 지금 일어나 주세요. B: 물론이에요. A: 조용히 앉아 주세요. B: 알겠습니다.
"사물이나 동물의 개수를 묻는 표현을 사용할 수 있어요.
You can ask and answer questions about the number of objects or animals.",A: How many cats? B: ___ cats.,A: 고양이가 몇 마리야? B: Two 마리의 고양이야.,Three,Two,Four,Two,2,A: How many fruits do you ___?,A: 몇 개의 과일을 보니?,eat,see,find,see,2,"A: How many dogs? B: Two dogs. A: How many chairs do you see? B: I see four chairs. A: Are there any tables? B: Yes, there are.","A: 개가 몇 마리야? B: 개가 두 마리야. A: 의자가 몇 개 보이니? B: 의자가 네 개 보이네. A: 탁자가 있니? B: 응, 있어."
"물건을 가지고 있는지 묻는 표현을 익힙니다.
Learn to ask and answer questions about possessing an item.","A: Do you ___ an eraser? B: Yes, I do./No, I don’t.","A: 지우개를 가지고 있니? B: 응, 있어./아니, 없어.",own,have,get,have,2,"A: Have you ___ an eraser? B: Yes, I have./No, I haven’t.","A: 지우개가 있니? B: 응, 있어./아니, 없어.",gotten,got,gotta,got,2,"A: Do you have a pencil? B: Yes, I do. A: Have you got a notebook? B: No, I haven’t.","A: 연필을 가지고 있니? B: 응, 있어. A: 노트북 있어? B: 아니, 없어."
"색깔을 묻고 답하는 표현을 사용할 수 있어요.
Learn how to ask and answer about colors.",A: What color is it? B: It's ____.,A: 이거 무슨 색이야? B: 파란색이야.,red,blue,green,blue,2,A: What’s the ____ of it?,A: 이거의 색깔이 뭐야?,size,color,price,color,2,"A: What color do you see? B: I see blue. A: What’s the shade of it? B: Yes, it’s exactly blue.","A: 무슨 색이 보이나요? B: 파란색이 보여요. A: 그 색깔이 뭐죠? B: 네, 딱 파란색이에요."
"좋아하는 과일·채소를 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer about your favorite fruits and vegetables.","A: Do you like ______? B: Yes, I do./No, I don’t.","A: 바나나 좋아해? B: 응, 좋아해./아니, 안 좋아해.",cars,bananas,computers,bananas,2,"A: Do you enjoy eating ______? B: Yes, I do./No, I don’t. A: Do you love ______? B: Yes, I do./No, I don’t.","A: 바나나 먹는 거 즐겨? B: 응, 좋아해./아니, 안 좋아해. A: 바나나를 정말 좋아해? B: 응, 좋아해./아니, 안 좋아해.",rocks,bananas,shoes,bananas,2,"A: Do you like apples? B: Yes, I do. A: Do you enjoy eating apples? B: Yes, I do. A: Do you love apples? B: Yes, I do.","A: 사과 좋아해? B: 응, 좋아해. A: 사과 먹는 걸 즐겨? B: 응, 좋아해. A: 사과를 정말 좋아해? B: 응, 좋아해."
"동물이나 식물의 특징을 묘사하는 표현을 익힐 수 있어요.
Learn to describe the characteristics of animals and plants.",It’s ____.,그것은 엄청 크다.,small,huge,fast,huge,2,It looks ____.,보기에는 다채로워 보여.,old,dull,colorful,colorful,3,"A: This animal is huge. B: Wow, it must be very impressive. A: And it looks colorful. B: Nature really surprises us.","A: 이 동물은 엄청 크다. B: 와, 정말 인상적이야. A: 그리고 보기에는 다채로워 보여. B: 자연은 정말 놀라워."
"할 수 있는지 묻고 답하는 표현을 익힙니다.
Learn expressions for asking and answering about abilities.","A: Can you ____? B: Yes, I can./No, I can’t.",너 점프할 수 있니?,jump,sit,run,jump,1,"A: Are you able to ____? B: Yes, I am./No, I'm not.",너 점프할 수 있니?,sit,jump,run,jump,2,"A: Can you run? B: Yes, I can. A: Do you know how to run? B: Yes, I do.","A: 너 달릴 수 있니? B: 응, 할 수 있어. A: 너 달리는 법 알아? B: 응, 알아."
"사람이 누구인지 묻고 답하는 표현을 배워요.
Learn to ask and answer who someone is.",He’s my ____.,그는 내 삼촌이야.,brother,uncle,neighbor,uncle,2,This is my ____.,이 사람은 내 친구예요.,teacher,friend,sister,friend,2,A: Who's she? B: She's my cousin. A: Who is that? B: That is my teacher. A: Who are they? B: They are my friends.,A: 저 사람은 누구야? B: 그녀는 내 사촌이야. A: 저 사람은 누구니? B: 저 분은 내 선생님이야. A: 저 사람들은 누구니? B: 저 분들은 내 친구들이야.
"날씨를 묻고 답하는 표현을 사용할 수 있어요.
Learn to ask and answer about the weather.",A: ___ the weather? B: It’s raining.,A: 날씨는 어때? B: 비가 오고 있어.,What’s,How’s,Where’s,How’s,2,A: What’s the weather like? B: It’s ___.,A: 날씨가 어때요? B: 비가 오고 있어요.,cloudy,raining,sunny,raining,2,A: How's the weather today? B: It's sunny. A: What’s the weather like this afternoon? B: It's a bit windy outside.,A: 오늘 날씨 어때? B: 화창해. A: 오늘 오후 날씨가 어때? B: 바람이 좀 불어.
"'What’s this/that?' 패턴을 사용하여 물건에 대해 묻고 답할 수 있어요.
Learn how to ask and answer about objects using the 'What’s this/that?' pattern.",A: What’s ___? B: It’s a pen.,이것은 뭐야? B: 펜이야.,that,this,those,this,2,A: What’s ___? B: It’s a pencil.,저것은 뭐야? B: 연필이야.,these,that,this,that,2,A: What’s this? B: It’s a notebook. A: What’s that? B: It’s a marker.,A: 이것은 뭐야? B: 공책이야. A: 저것은 뭐야? B: 형광펜이야.
"상대방에게 행동을 요청하는 방법을 배울 수 있어요.
Learn how to request someone to perform an action.","A: ___ down, please. B: Okay.",A: 앉아주세요. B: 알겠어요.,Stand,Sit,Lie,Sit,2,"A: ___ up, please. B: Sure.",A: 일어나 주세요. B: 좋아요.,Walk,Stand,Sleep,Stand,2,"A: Please take a seat. B: Okay. A: Remain silent, please. B: Alright.",A: 자리에 앉아주세요. B: 알겠어요. A: 조용히 해주세요. B: 네.
"패턴을 통해 좋아하는 것에 대해 묻고 답하는 방법을 배워요.
Learn how to ask and answer questions about likes using the pattern.","A: Do you like _____? B: Yes, I do. / No, I don't.","A: 토마토를 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.",oranges,tomatoes,potatoes,tomatoes,2,"A: Do you _____ tomatoes? B: Yes, I do. / No, I don't.","A: 토마토를 즐겨 먹어? B: 응, 먹어. / 아니, 안 먹어.",avoid eating,enjoy eating,prefer cooking,enjoy eating,2,"A: Do you like apples? B: Yes, I do. / No, I don't. A: Do you enjoy eating apples? B: Yes, I do. / No, I don't.","A: 사과를 좋아해? B: 응, 좋아해. / 아니, 안 좋아해. A: 사과를 즐겨 먹어? B: 응, 먹어. / 아니, 안 먹어."
"동물의 수를 묻고 답하는 방법을 배워요.
Learn how to ask and answer about the number of animals using 'How many ()?'.",A: How many ___? B: Four cows.,A: 소가 몇 마리야? B: 소 네 마리야.,dogs,cows,birds,cows,2,A: How many cows do you ___?,A: 소 몇 마리를 보니?,hear,see,eat,see,2,"A: How many pigs? B: Six pigs. A: How many pigs do you observe? B: I observe six pigs. A: Are there pigs here? B: Yes, there are.","A: 돼지가 몇 마리야? B: 돼지 여섯 마리야. A: 돼지를 몇 마리 보니? B: 돼지 여섯 마리가 보여. A: 여기 돼지가 있니? B: 응, 있어."
"자신의 능력에 대해 질문하고 대답하는 방법을 배워요.
Learn how to ask and answer questions about your ability using 'Can you()?'","A: Can you ___? B: Yes, I can. / No, I can’t.","A: 춤출 수 있어? B: 응, 할 수 있어. / 아니, 못해.",run,dance,sing,dance,2,"A: Can you ___? B: Yes, I can. / No, I can’t. A: Do you know how to ___? B: Yes, I do. / No, I don’t.","A: 너 수영할 수 있어? B: 응, 할 수 있어. / 아니, 못해. A: 너 수영하는 법 알아? B: 응, 알아. / 아니, 몰라.",jump,swim,read,swim,2,"A: Can you cook? B: Yes, I can. A: Do you know how to bake? B: Yes, I do.","A: 요리할 수 있어? B: 응, 할 수 있어. A: 빵 굽는 법 알아? B: 응, 알아."
"물건을 가지고 있는지 묻고 대답하는 방법을 배워요.
Do you have ()? 표현을 통해 소유 여부를 물어보고 대답할 수 있어요.","A: ___ an eraser? B: Yes, I do.","A: 지우개 갖고 있니? B: 응, 있어.",Have you got,Do you have,Did you have,Do you have,2,"A: ___ an eraser? B: Yes, I have.","A: 지우개 가지고 있니? B: 응, 가지고 있어.",Will you have,Have you got,Do you have,Have you got,2,"A: Do you have a backpack? B: Yes, I do. A: Have you got a lunchbox? B: No, I haven't.","A: 가방 있어? B: 응, 있어. A: 도시락 가지고 있니? B: 아니, 없어."
"감정이나 상태를 묻고 답하는 방법을 배울 수 있어요.
영어로 'Are you excited?' 와 'Are you feeling excited?' 표현을 사용할 수 있어요.","A: Are you ___? B: Yes, I am. / No, I'm not.","A: 너 신나니? B: 응, 그래. / 아니, 아니야.",happy,excited,tired,excited,2,"A: Are you feeling ___? B: Yes, I am. / No, I'm not. A: Do you feel ___? B: Yes, I do. / No, I don't.","A: 너 신나는 기분이니? B: 응, 그래. / 아니, 아니야. A: 너 신나는 기분이니? B: 응, 그래. / 아니, 아니야.",tired,bored,excited,excited,3,"A: Are you excited about the concert? B: Yes, I am. A: Are you feeling excited about your performance? B: Yes, I do.","A: 너 콘서트가 신나니? B: 응, 그래. A: 네 공연에 신나는 기분이니? B: 응, 그래."
"색깔을 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer about colors using 'What color is ()?'.",A: ______ your bag? B: It's blue.,A: 네 가방은 무슨 색이니? B: 파란색이야.,How far is,What color is,Where is,What color is,2,"A: What's the color of ______? B: It's red. A: Is it red? B: Yes, it is.",A: 네 펜은 무슨 색이니? B: 빨간색이야. A: 빨간색이니? B: 맞아.,your book,your pen,your cup,your pen,2,"A: What color is your backpack? B: It's orange. A: What's the color of your notebook? B: It's white. A: Is it white? B: Yes, it is.",A: 네 백팩은 무슨 색이니? B: 주황색이야. A: 네 공책은 무슨 색이니? B: 흰색이야. A: 흰색이니? B: 맞아.
"사람의 신원을 묻고 답하는 방법을 배울 수 있어요.
Learn how to ask and answer about someone's identity using 'Who's ()?'.",He’s my ____.,저 남자애는 내 동생이야.,friend,brother,father,brother,2,They are my ____.,저 사람들은 내 자매들이야.,teachers,sisters,brothers,sisters,2,A: Who's that girl? B: She's my cousin. A: Who are they? B: They are my classmates.,A: 저 여자애 누구야? B: 저 녀석은 내 사촌이야. A: 저 사람들은 누구야? B: 저 사람들은 내 반 친구들이야.
"날씨를 묻고 답하는 표현을 사용할 수 있어요.
Learn how to talk about the weather using key expressions.",A: How’s the weather today? B: It’s ____.,오늘 날씨 어때? 답: 흐려.,rainy,cloudy,sunny,cloudy,2,A: What’s the weather like? B: It’s ____.,날씨 어때? 답: 바람이 많이 부네.,sunny,windy,rainy,windy,2,"A: How's the weather today? B: It's rainy. A: What's the weather like outside? B: Actually, it's cloudy.","A: 오늘 날씨 어때? B: 비가 오고 있어. A: 바깥 날씨는 어때? B: 사실, 흐리네."
"만날 때 인사하는 표현을 배울 수 있어요.
Learn expressions to greet others when meeting.",A: ___. B: Hello.,A: 안녕. B: 안녕하세요.,Hello,Hi,Hey,Hi,2,A: ___! B: Hi there! A: Hello! B: Nice to see you!,A: 야! B: 안녕! A: 안녕하세요! B: 만나서 반가워요!,Yo,Hey,Hi,Hey,2,A: Hello there. B: Hi! A: Good to see you. B: Pleasure meeting you.,A: 안녕하세요. B: 안녕! A: 반가워요. B: 만나서 반가워요.
"학생들은 'What's this/that?' 형태를 사용해 물건의 이름을 묻고 답할 수 있어요.
상황에 맞는 표현을 통해 물건에 대해 효과적으로 의사소통할 수 있어요.",A: What’s ___? B: It’s a hat.,A: 이게 뭐야? B: 이건 모자야.,that,this,these,this,2,A: What is this? B: It’s a __.,A: 이게 뭐야? B: 이건 펜이야.,cup,pen,hat,pen,2,A: What's this? B: It's a book. A: What's that? B: It's a phone.,A: 이게 뭐야? B: 이건 책이야. A: 저것은 뭐야? B: 이건 전화야.
"요청하는 표현을 사용할 수 있어요.
요청에 따른 응답 표현을 사용할 수 있어요.","A: ___ down, please. B: Okay.","앉으세요, 제발.",Sleep,Sit,Stand,Sit,2,"A: ___ up, please. B: Sure.","일어서세요, 부탁해요.",Run,Stand,Jump,Stand,2,"A: Have a seat, please. B: Alright. A: Close the door, please. B: Sure.","A: 자리에 앉으세요, 부탁해요. B: 알겠어요. A: 문을 닫아주세요. B: 물론이죠."
"과일·채소의 개수를 묻고 답하는 표현을 익힐 수 있어요.
'How many ()?' 표현을 사용해서 개수를 물어보고 답할 수 있어요.",A: How many ___? B: Four oranges.,A: 몇 개의 오렌지가 있나요? B: 오렌지가 네 개 있어요.,apples,oranges,bananas,oranges,2,A: Can you ___ the apples?,A: 사과들의 개수를 셀 수 있나요?,draw,count,calculate,count,2,A: How many bananas? B: Six bananas. A: How many grapes do you see? B: I see grapes. A: Can you count the grapes? B: There are ten grapes.,A: 바나나가 몇 개 있나요? B: 바나나가 여섯 개 있어요. A: 포도가 몇 개 보이나요? B: 포도가 보여요. A: 포도의 개수를 셀 수 있나요? B: 포도가 열 개 있어요.
"좋아하는 음식에 대해 묻고 답할 수 있어요.
다양한 음식을 표현하며 취향을 물어볼 수 있어요.","A: Do you like ______? B: Yes, I do. / No, I don’t.","A: 아이스크림 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.",pasta,ice cream,apples,ice cream,2,"A: Do you like ______? B: Yes, I do. / No, I don’t.","A: 파스타 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.",hamburger,salad,pasta,pasta,3,"A: Do you enjoy sushi? B: Yes, I do. / No, I don't. A: Do you enjoy tacos? B: Yes, I do. / No, I don't.","A: 초밥 좋아해? B: 응, 좋아해. / 아니, 안 좋아해. A: 타코 좋아해? B: 응, 좋아해. / 아니, 안 좋아해."
"색을 묻고 답하는 표현을 사용할 수 있어요.
Ask and answer questions about color using expressions like 'What color is it?'",A: _____ color is it? B: It's blue.,A: 이거 무슨 색이야? B: 파란색이야.,Which,What,How,What,2,A: What color is your backpack? B: It's _____.,A: 네 가방은 무슨 색이야? B: 파란색이야.,red,blue,yellow,blue,2,A: What color is your scarf? B: It's blue. A: What color is the bag? B: It's green.,A: 너의 스카프는 무슨 색이야? B: 파란색이야. A: 가방은 무슨 색이야? B: 초록색이야.
"동물의 종류를 질문할 수 있어요.
'Is it ()?'와 같은 표현을 사용하여 동물인지 확인하고 답할 수 있어요.",A: ___ a rabbit?,A: 이것은 토끼인가요?,Has it,Is it,Can it,Is it,2,A: ___ a cat?,A: 이것은 고양이인가요?,Is it,Was it,Could it,Is it,1,"A: Is it a bird? B: Yes, it is. A: Is it a dog? B: No, it isn’t.","A: 이것은 새인가요? B: 네, 맞습니다. A: 이것은 개인가요? B: 아니요, 그렇지 않습니다."
"물건을 가지고 있는지 묻고 대답하는 표현을 익힐 수 있어요.
Do you have ()? 등의 표현을 사용하여 물건의 소유 여부를 물어볼 수 있어요.",A: ______ a book?,A: 책이 있니?,Do you have,Are you carrying,Have you got,Do you have,1,A: ______ a pencil?,A: 연필이 있니?,Have you got,Do you have,Are you carrying,Have you got,1,"A: Do you have a tablet? B: Yes, I do. A: Have you got a charger? B: No, I haven’t.","A: 태블릿이 있니? B: 응, 있어. A: 충전기가 있니? B: 아니, 없어."
"할 수 있는지 물어보는 표현을 배워요.
Can you ()?와 같은 표현으로 능력을 묻고 대답할 수 있어요.","A: Can you ___? B: Yes, I can.","A: 너 ___ 할 수 있어? B: 응, 할 수 있어.",swim,jump,run,jump,2,"A: Are you able to ___? B: Yes, I am.","A: 넌 ___ 할 수 있어? B: 응, 할 수 있어.",dance,jump,sing,jump,2,"A: Can you dance? B: Yes, I can. A: Do you know how to cook? B: No, I don't.","A: 너 춤출 수 있어? B: 응, 할 수 있어. A: 넌 요리할 줄 알아? B: 아니, 몰라."
"누구인지 묻고 답할 수 있어요.
Practice asking 'Who is ...?' and answering with family member expressions.",A: Who is ___? B: She's my sister.,A: 그녀는 누구야? B: 그녀는 내 여동생이야.,it,she,he,she,2,A: Who's that boy? B: He's my ___.,저 소년은 누구야? 그는 내 형제야.,cousin,brother,friend,brother,2,"A: Who is she? B: She's my neighbor. A: Who's that boy? B: He's my cousin. A: Do you know who he is? B: Yes, he is my cousin.","A: 그녀는 누구야? B: 그녀는 내 이웃이야. A: 저 소년은 누구야? B: 그는 내 사촌이야. A: 그가 누구인지 알아? B: 응, 그는 내 사촌이야."
"날씨에 대해 묻고 답하는 법을 배워요.
Learn to ask and answer about the weather using 'How’s the weather?'.",A: How’s the weather? B: It’s ______.,A: 날씨 어때? B: 흐려.,rainy,cloudy,sunny,cloudy,2,A: What’s the weather like today? B: It’s ______.,A: 오늘 날씨 어때? B: 화창해.,sunny,cloudy,rainy,sunny,1,A: How’s the temperature this afternoon? B: It’s chilly. A: What’s the forecast for tomorrow? B: It’s going to be warm.,A: 오늘 오후 기온 어때? B: 쌀쌀해. A: 내일 날씨 예보는 어때? B: 따뜻할 거야.
