example_english,example_korean
"After finishing his work, he will carefully lay his tools on the table before leaving.","일을 마친 후, 그는 떠나기 전에 도구들을 조심스럽게 탁자 위에 놓아요."
The nurse will lay the injured patient gently on the bed after removing the bandages.,간호사는 붕대를 제거한 후 부상당한 환자를 조심스럽게 침대에 눕혔어요.
"Every quiet morning, the golden hen will lay fresh eggs on the small tranquil farm.","매우 조용한 아침마다, 황금빛 암탉이 작은 평화로운 농장에서 신선한 알을 낳을 거예요."
The modern railway bridge acted as a valuable link seamlessly connecting two distinct cultural regions.,현대적인 철도 다리는 서로 다른 두 문화 지역을 부드럽게 연결하는 중요한 역할을 했어요.
I quickly clicked the link on the website to access the detailed and exciting guide.,나는 웹사이트에서 빠르게 링크를 클릭하여 자세하고 흥미로운 안내서를 확인했어요.
They carefully load all the shipping boxes onto the truck before starting the long journey.,그들은 긴 여정을 시작하기 전에 모든 배송 상자를 트럭에 조심스럽게 싣어요.
The unexpected work project imposed a heavy load on my already tired and anxious mind.,예기치 못한 업무 프로젝트 때문에 나는 이미 피곤하고 불안한 마음에 큰 부담을 느꼈어요.
This heavy load of work invariably required us to complete it quickly before tomorrow's meeting.,이 많은 작업량은 반드시 내일 회의 전에 신속하게 처리해야 했어요.
The truck struggled to carry the heavy load as it delivered goods across the city.,트럭은 도시를 가로질러 물건을 배달하면서 무거운 짐을 나르기 위해 애썼어요.
"The construction crane hoisted a massive load, carefully ensuring overall safety measures were met.",건설 크레인이 매우 무거운 짐을 조심스럽게 들어올리며 전체 안전 조치를 철저히 지켰어요.
"After the unfortunate loss of his wallet, he panicked and retraced all his steps carefully.",지갑을 분실한 후 그는 당황해서 모든 발자취를 꼼꼼히 되짚어 보았어요.
I try to maintain a balanced schedule by organizing my daily tasks and planning diligently.,나는 매일의 업무를 조직하고 신중하게 계획하여 균형 잡힌 일정을 유지하려고 노력해요.
"During the heated debate, the professor maintained a controversial stance that deeply surprised numerous experts.",격렬한 토론 중에 교수님은 논란이 되는 입장을 주장하시어 많은 전문가들을 깊게 놀라게 했어요.
She worked extra hours every week to maintain her family’s household and provide needed support.,그녀는 매주 추가 근무를 하며 가족의 가정을 부양하고 필요한 지원을 제공했어요.
"Many skilled engineers at the company manufacture innovative products, ensuring each item meets strict quality standards.","회사의 숙련된 기술자들이 혁신적인 제품을 제조하며, 각 제품이 엄격한 품질 기준을 충족하도록 노력해요."
The heavy metallic mass was carefully lifted by experienced construction workers at the building site.,경험 많은 건설 노동자들이 건물 부지에서 무거운 금속 덩어리를 신중하게 들어올렸어요.
The local factory produced mass quantities of goods daily to satisfy the growing customer demand.,현지 공장은 늘어나는 고객 수요를 충족시키기 위해 매일 대량의 제품들을 생산했어요.
The dedicated scientist accurately calculated the mass of the unusual metal sample during the experiment.,헌신적인 과학자는 실험 중에 특이한 금속 샘플의 질량을 정확히 계산했어요.
The respected medical research team collaborated with international experts to develop innovative treatments for patients.,존경받는 의학 연구팀은 국제 전문가들과 협력하여 환자들을 위한 혁신적인 치료법을 개발했어요.
"After a long day, she engaged in rigorous mental exercises to keep her thoughts sharp.","오랜 하루가 끝난 후, 그녀는 정신을 단련하기 위해 치밀한 운동을 시작했어요."
The security officer carefully monitors the entrance cameras to prevent suspicious activities during off hours.,보안 담당자가 야간에 의심스러운 활동을 방지하기 위해 입구 카메라를 주의 깊게 감시해요.
I cleaned and calibrated my standard computer monitor carefully before starting my long work session.,나는 긴 작업을 시작하기 전에 내 표준 컴퓨터 모니터를 조심스럽게 청소하고 교정했어요.
"Her neat handwriting impressed the teacher during the stressful exam, and every student admired it.","그녀의 멋진 필체는 힘든 시험 동안 선생님을 감동시켰고, 모든 학생들도 그것을 칭찬했어요."
Her neat arrangement of books on the shelf truly impressed everyone during the library tour.,그녀가 책꽂이에 깔끔하게 정리한 책 배열은 도서관 투어에서 모두를 감탄하게 만들었어요.
The team set a clear objective during the meeting to secure new clients this quarter.,팀은 이번 분기에 새로운 고객을 확보하기 위해 회의 중에 명확한 목표를 세웠어요.
"During the lesson, the teacher explained that each pronoun held an objective position within sentences.",수업 시간 동안 선생님은 각 대명사가 문장에서 목적격 역할을 한다고 설명하셨어요.
The experienced scientist offered objective analysis of the data	which completely ensured clarity in the research.,경험 많은 과학자는 데이터에 대해 객관적인 분석을 제공하여 연구의 명확성을 완전히 보장했어요.
"During my quiet morning walk, I carefully observe	 every beautiful bird perched on nearby branches.",조용한 아침 산책 중에 저는 가까운 나뭇가지에 앉은 모든 아름다운 새들을 세심하게 관찰했어요.
"During the conference, John observed that the new policy could significantly improve our company profits.","회의 도중, 존은 새로운 정책이 우리 회사의 이익을 크게 향상시킬 수 있다고 의견을 말했어요."
"Every year, we carefully observe our founding members' achievements with grand festivities and heartfelt celebrations.",매년 우리는 창립 회원들의 업적을 기념하기 위해 성대한 행사를 개최하며 함께 즐겨요.
"Every responsible citizen should always strictly observe the local laws, ensuring safety in our communities.",모든 책임감 있는 시민은 항상 현지 법규를 엄격히 지켜서 우리 지역사회에서 안전을 보장해야 해요.
The local residents strongly oppose the reckless plan to construct a modern shopping mall downtown.,지역 주민들은 현대적인 쇼핑몰 건설 계획에 대해 강하게 반대해요.
"Complete all your tasks carefully, otherwise unforeseen problems may suddenly arise and disrupt your schedule.","모든 과제를 신중하게 마무리해요, 그렇지 않으면 예기치 않은 문제가 갑자기 생겨서 일정이 어긋날 수 있어요."
"After his long journey, he began to pine for the quiet, comforting days of home.","오랜 여행 후, 그는 집의 조용하고 위로가 되는 날들을 그리워하기 시작했어요."
"At the park, I observed a tall pine tree swaying under the cool autumn breeze.",공원에서 나는 키 큰 소나무가 차가운 가을 바람에 흔들리는 모습을 봤어요.
The unmatched kindness of the strangers evoked a strong sense of pity in my heart.,낯선 이들의 비할 데 없는 친절함이 제 마음속에 깊은 불쌍함을 불러일으켰어요.
It is truly a pity that his promising career was suddenly halted by unfortunate circumstances.,정말 안타깝게도 그의 유망한 경력이 불행한 상황에 의해 갑자기 중단되었어요.
The cunning con artist tried to poison the wealthy businessman using a rare toxic substance.,교활한 사기꾼이 희귀한 독성 물질을 사용하여 부유한 사업가를 독살하려고 했어요.
The toxic substance was a deadly poison discovered in the abandoned laboratory yesterday by investigators.,어제 버려진 실험실에서 조사관들이 발견한 유독한 물질은 치명적인 독으로 판명되었어요.
I possess a truly rare family heirloom and guarantee that it never goes to waste.,"저는 정말 희귀한 가족 유산을 소유하고 있으며, 그것이 결코 낭비되지 않도록 보장해요."
She found a practical solution that not only saved time but also significantly reduced costs.,그녀는 시간을 절약하고 비용을 크게 줄이는 실용적인 해결책을 찾아냈어요.
My teacher always provides practical advice when efficiently tackling particularly complicated subjects in the classroom.,제 선생님은 특히 어려운 과목들을 효율적으로 다룰 때 현실적인 조언을 항상 제공해요.
"Sometimes, when preparing for a challenging exam, we pretend we thoroughly understand every single concept.","가끔은 어려운 시험을 준비할 때, 모든 개념을 충분히 이해했다고 가정해요."
"The politician pretended to believe the scandal’s evidence, claiming it was true despite lingering doubts.","정치인은 스캔들 증거를 믿는 척하며, 남아있는 의구심에도 불구하고 그것이 사실이라고 주장했어요."
"During the school play, I pretended to be a clever detective solving a mysterious case.","학교 연극 도중, 나는 똑똑한 형사인 체하며 신비로운 사건을 해결하는 역할을 했어요."
I reviewed the previous document carefully to gather all the necessary updates for our project.,저는 앞의 문서를 신중하게 검토하여 우리 프로젝트에 필요한 모든 업데이트를 모았어요.
Our primary objective is to build innovative solutions that significantly benefit communities across the country.,우리의 주요 목표는 전국의 공동체에 혁신적인 해결책을 제공하여 큰 혜택을 주는 것이에요.
The primary objective of our project was to develop innovative technology and to strengthen collaboration.,우리 프로젝트의 주된 목표는 혁신적인 기술을 개발하고 협력을 강화하는 것이었어요.
"Before the race, the crew will prime the rocket engines carefully to guarantee flawless performance.",경주 전에 팀이 로켓 엔진을 신중하게 준비시켜서 완벽한 성능을 보장했어요.
The prime candidate for the job quickly impressed everyone during the important company meeting earlier.,그 주요한 후보는 중요한 회사 회의에서 모든 사람을 감동시켰어요.
The prime candidate for the prestigious award inspired young students to consistently strive for success.,이 가장 좋은 후보는 명망 높은 상을 받아 학생들이 일관되게 성공을 꿈꾸도록 영감을 주었어요.
Following the principle of honesty in every action leads people to trust and respect you.,모든 행동에서 정직의 원칙을 따르는 것은 사람들로 하여금 신뢰와 존경을 받게 해요.
"He cherished his private time in the quiet countryside home, away from the hectic city.",그는 복잡한 도시에서 벗어나 조용한 시골 집에서 자신의 사적인 시간을 소중히 여겼어요.
The experienced real estate agent efficiently assisted many clients in buying and selling their properties.,그 경험 많은 중개인이 고객들의 부동산 구매와 판매를 효율적으로 도왔어요.
The secret agent skillfully worked undercover to gather important evidence for the international organization assignment.,그 비밀 요원은 국제 조직의 임무를 위해 중요한 증거를 능숙하게 수집했어요.
"After school, my teacher quickly assigned us an unexpected assignment on the history of art.",방과 후에 선생님께서 역사에 관한 예상치 못한 숙제를 빠르게 내주셨어요.
"The assignment required extensive research, careful organization, and creativity to successfully complete the given tasks.","이 과제는 광범위한 연구와 철저한 계획, 그리고 창의력을 필요로 하여 성공적으로 완료할 수 있었어요."
Every thunderous door slam would	bang explosively enough to wake up everyone at home too.,매번 문이 쾅 하고 닫히면	집 안의 모든 사람이 깨어날 정도로 폭발적으로 들려요.
Her stylish bang perfectly complemented her short bob haircut during the vibrant summer festival party.,그녀의 세련된 단발 앞머리는 활기찬 여름 페스티벌 파티 동안 짧은 보브 헤어컷을 완벽하게 보완했어요.
The expansive mountain viewpoint offered a broad horizon stretching over a remarkably vast green valley.,그 광활한 산 정상에서는 놀라울 정도로 넓은 지평선이 펼쳐져서 감동받았어요.
She is indeed capable of handling complex projects with efficiency and expertise in various fields.,그녀는 여러 분야에서 복잡한 프로젝트를 효율성과 전문성을 가지고 능숙하게 처리할 수 있어요.
The champion of the tournament was celebrated	by fans during a magnificent victory parade.,토너먼트의 우승자는	팬들이 주최한 화려한 퍼레이드에서 축하받았어요.
The determined champion of social justice spoke passionately as an ardent advocate at the rally.,사회 정의의 옹호자로서 그는 집회장에서 열정적으로 연설하며 많은 이들에게 영감을 주었어요.
This chart detailed the statistical trends for the entire fiscal year in an organized manner.,이 도표는 조직적으로 정리된 방식으로 전체 회계 연도의 통계적 경향을 자세히 보여줬어요.
"Due to the challenging circumstance at our factory, each worker adapted to a new environment.",우리 공장에서 어려운 환경 때문에 각 작업자가 새로운 환경에 적응했어요.
"In a complicated circumstance, the team quickly realized that they must act with extraordinary determination.",복잡한 상황 속에서 그 팀은 신속하게 행동해야 한다는 것을 깨달았어요.
"Every morning, I clip the hair from my newborn baby, ensuring that it remains neat.","매일 아침, 나는 신생아의 머리카락을 오려 깔끔하게 정리하였어요."
The director carefully selected a short movie clip that showcased the film's dramatic climax indeed.,감독은 영화의 극적인 절정을 보여주는 짧은 클립을 신중하게 선택했어요.
I attached each printed page with a silver clip to stop them from getting lost.,나는 인쇄된 각 페이지를 은색 클립으로 묶어 잃어버리지 않도록 했어요.
I watched an exciting clip online that made me laugh and brightened my day today.,"저는 오늘 인터넷에서 재미있는 짧은 영상을 봤는데, 그 영상이 저를 웃게 하고 하루를 밝게 만들어줬어요."
Please confirm that every small detail is verified	before we finalize the assignment report now.,과제 보고서를 마무리하기 전에 모든 작은 사항들이 정확하게 확인되었는지 부탁드려요.
She eventually decided to contribute her innovative essay to the renowned magazine after extensive research.,그녀는 오랜 연구 후 뛰어난 잡지에 그녀의 혁신적인 에세이를 기고하기로 결심했어요.
"During the meeting, I contributed my valuable perspective to our intense debate with careful reasoning.",회의 중에 저는 소중한 의견을 내어	치열한 토론에 참여하며 문제 해결에 기여했어요.
"We all contribute generously to community funds, ensuring that essential services are available for everyone.",우리 모두는 지역 사회 기금에 기부하여 필수 서비스가 모두에게 제공될 수 있도록 했어요.
Her innovative ideas always contribute positively at school to the community projects we passionately support.,그녀의 혁신적인 아이디어는 학교에서 우리 공동체 프로젝트에 열정적으로 기여해서 모두에게 좋은 영향을 주어요.
"Although the storm was overwhelmingly harsh, she learned to cope with the unexpected challenges quickly.","폭풍이 엄청나게 거칠었음에도 불구하고, 그녀는 예기치 못한 난관들을 빠르게 잘 대처하는 법을 배웠어요."
Many knowledgeable observers consistently credit her brilliant strategy to her wise mentor during crucial negotiations.,많은 안목 있는 관찰자들이 결정적인 협상 중 그녀의 뛰어난 전략을 현명한 멘토의 공으로 돌리고 있어요.
The bank credited my account with the deposited funds immediately after the transfer was confirmed.,은행은 송금이 확인된 직후 내 계좌에 자금을 입금했어요.
"After paying all my bills and fees, my account credit still covers unexpected urgent expenses.","모든 청구서와 비용을 낸 후, 내 계좌 잔고는 예측하지 못한 급한 지출을 감당할 수 있어요."
"I earned extra credit from a challenging course, ultimately improving my overall excellent academic grade.",저는 도전적인 강의에서 추가 학점을 받아서 제 전반적인 우수한 학업 성적을 향상시켰어요.
My exceptional credit history consistently helped me	secure a favorable loan at the nearby bank.,저의 탁월한 신용 기록이 꾸준히 저를 도와	근처 은행에서 유리한 대출을 받게 해줬어요.
"At dawn, the bright sky transformed spectacularly as soft light gradually embraced the waking world.","새벽에 밝은 하늘이 놀랍도록 변화하며, 부드러운 빛이 서서히 깨어나는 세상을 감싸줬어요."
"During our delightful cruise, we enjoyed walking across the deck and witnessing the mesmerizing view.",즐거운 크루즈 여행 동안 우리는 갑판을 걸으며 매혹적인 풍경을 보았어요.
The agile cat carefully tiptoed along the very sharp edge of the old wooden table.,날렵한 고양이가 오래된 목재 테이블의 매우 뾰족한 가장자리 위를 조심스럽게 걸었어요.
"Thanks to innovative strategies, our business gained a clear edge over competitors in the market.",혁신적인 전략 덕분에 우리 사업은 경쟁자들보다 명확한 우위를 얻었어요.
We designed the clock gears to engage precisely so that the mechanism works flawlessly always.,우리는 시계 톱니들이 정확하게 맞물리도록 설계해서 기계 장치가 항상 완벽하게 작동하도록 했어요.
"During the meeting, the speaker skillfully engaged the audience with inspiring stories and practical examples.",회의 중에 연사는 감동적인 이야기와 실용적인 예시로 청중을 효과적으로 끌어들였어요.
"After a long period of dating, they decided to engage and plan their future together.","오랜 연애 기간 후, 그들은 약혼하기로 결정하고 함께 미래를 설계했어요."
Many dedicated professionals actively engage in challenging projects to progress our community development efforts quickly.,많은 헌신적인 전문가들이 어려운 프로젝트에 종사하여 우리 커뮤니티 발전을 빠르게 도모하고 있어요.
"During our team meetings, I actively engage	all colleagues to ensure their ideas are heard.",우리 팀 회의에서 모든 동료들의 의견이 충분히 들리도록 적극적으로 참여시키고 있어요.
"The lively host tried to engage the curious audience,	and everyone listened with keen interest.","활기찬 진행자는 호기심 많은 청중의 관심을 끌기 위해 노력했고, 모든 사람이 깊은 관심으로 귀 기울였어요."
The award committee will entitle the top performer with a title and special rights today.,시상 위원회는 오늘 최고의 성과자에게 칭호와 특별한 권리를 줄 예정이에요.
The generous scholarship entitles every top-performing student to attend the prestigious university tuition free.,이 후한 장학금은 모든 우수 학생들에게 명문 대학에서 무상으로 공부할 자격을 줘요.
The publisher will entitle the new book with a captivating subtitle that draws readers' interest.,출판사는 독자들의 관심을 끌기 위해 새로운 책에 매력적인 부제를 제목으로 붙일 거예요.
The referee decided to equal the teams' scores to ensure fair competition during the match.,심판은 경기 동안 공정한 경쟁을 위해 두 팀의 점수를 같게 만들기로 결정했어요.
"In our team meeting, each member received an equal portion of responsibility for the project.",우리 팀 회의에서 모든 구성원이 프로젝트에 대해 같은 책임을 맡았어요.
The scientist will carefully examine the unusual specimen in the laboratory to gather crucial data.,과학자는 중요한 데이터를 수집하기 위해 실험실에서 그 특이한 표본을 신중히 조사할 거예요.
The doctor decided to examine the patient thoroughly today to accurately diagnose the unexpected symptoms.,의사는 예기치 못한 증상을 정확하게 진단하기 위해 오늘 환자를 철저하게 진찰했어요.
"After hearing the shocking news at midnight, she began to faint from intense emotional distress.","한밤중에 충격적인 소식을 들은 후, 그녀는 강렬한 감정에 기절하기 시작했어요."
The faint light from a distant star lit the dark night in a subtle way.,먼 별빛이 어두운 밤을 어렴풋하게 밝혀줬어요.
"The firm expanded rapidly due to innovative strategies and successful global partnerships, achieving remarkable growth.","이 회사는 혁신적인 전략과 성공적인 글로벌 제휴로 빠르게 확장되었고, 눈에 띄는 성장을 이루었어요."
"In a new building, the firm concrete walls ensured safety and stability for all residents.",새 건물의 견고한 콘크리트 벽은 모든 주민들의 안전과 안정성을 보장했어요.
Her final decision was firm and unwavering as she pursued her lifelong dream with determination.,"그녀의 최종 결정은 확고하고 동요되지 않았으며, 평생의 꿈을 향해 꾸준히 나아갔어요."
"The steel building was constructed on a firm base, guaranteeing that its structure remains safe.",강철 건물은 단단한 기초 위에 건설되어 건물의 구조가 안전하게 유지되도록 보장했어요.
Her graceful movements on stage exhibited a rare grace and elegance that impressed everyone easily.,그녀의 우아한 동작은 무대 위에서 드문 기품과 우아함을 뽐내어 모두를 쉽게 감동시켰어요.
Her unexpected act of kindness	demonstrated true grace in a challenging world that needed compassion.,그녀의 뜻밖의 친절한 행동은 힘든 세상에 필요한 은혜를 보여줬어요.
"The organization experienced a gradual increase in efficiency, leading to an overall better productivity rate.",그 조직은 효율성이 점진적으로 향상되어 전반적으로 생산성이 좋아졌어요.
The mysterious hint given by the witness led the detective closer to solving the case.,증인으로부터 받은 그 수상한 암시가 형사가 사건 해결에 한 걸음 더 다가가도록 해줬어요.
The author decided to illustrate her novel with vibrant colorful drawings to engage young readers.,작가는 어린 독자들을 사로잡기 위해 그녀의 소설에 생동감 넘치는 삽화를 넣었어요.
The artist used vibrant colors to illustrate his concept and show the beauty of nature.,예술가는 생동감 있는 색채를 사용하여 자신의 개념과 자연의 아름다움을 보여줬어요.
The professor used vivid images to illustrate extremely complex scientific theories during an engaging lecture.,교수님은 생생한 이미지를 사용하여 매우 복잡한 과학 이론들을 설명하셨어요.
The soldier's immediate reaction during the sudden attack saved countless lives on that rainy night.,그 군인의 즉각적인 반응이 갑작스러운 공격 도중 많은 생명을 구했어요.
The immediate solution provided by the experienced engineer quickly resolved the problem before it escalated.,경험 많은 엔지니어가 제시한 즉각적인 해결책이 문제를 빠르게 해결해 주었어요.
The immediate recognition of severe danger forced every person to rush out of the building.,심각한 위험을 직접적으로 인식하여 모든 사람이 건물 밖으로 서둘러 나갔어요.
The data on the chart will clearly indicate which strategy should be implemented for success.,차트에 있는 데이터가 성공을 위해 어떤 전략이 구현되어야 하는지 명확하게 가리키도록 했어요.
"Scientists often indicate potential problems during detailed experiments, requiring careful review to avoid serious failures.",과학자들은 상세한 실험 중에 잠재 문제들을 나타내기 위해 신중한 검토를 요구해요.
Every individual person in our diverse community contributes unique ideas that inspire significant positive changes.,모든 개인들은 우리 다채로운 공동체에서 독특한 아이디어를 내어 큰 긍정적 변화를 이끌어내요.
"She carefully designs individual outfits for each client, ensuring that every unique style is expressed.",그녀는 각 고객을 위해 개개인의 스타일이 잘 드러나는 옷을 신중하게 디자인했어요.
The inspector will	carefully inspect every corner of the abandoned factory building for safety reasons.,검사관은 안전을 위해 버려진 공장의 모든 구석을 꼼꼼하게 검사했어요.
His clear intent was to gather support and create a unifying message for his team.,그의 명확한 의도는 팀을 단결시키기 위해 지지를 모으고 통합된 메시지를 만드는 것이었어요.
He always passionately pursues his goals with clear intention and determination in everything he does.,그는 언제나 명확한 의도와 결단력을 가지고 목표를 열정적으로 추구하며 모든 일에 최선을 다해요.
She had the strong intention to master new skills and build abundant knowledge every day.,그녀는 새로운 기술을 익히고 풍부한 지식을 쌓기 위한 강한 의도를 가지고 있었어요.
"The doctor explained that the patient's internal infection developed rapidly, requiring immediate treatment and careful observation.",의사는 환자의 체내 감염이 빠르게 진행되어 즉각적인 치료와 세심한 관찰이 필요하다고 설명했어요.
"Her internal emotions,	clandestinely hidden in her soul, gradually influenced every life-changing decision she made.","그녀의 내면의 감정은	영혼 속에 은밀하게 숨겨져 있었고, 그녀가 내린 모든 인생을 바꾼 결정에 점차 영향을 미쳤어요."
I tried not to interrupt the meeting by raising my hand during the important presentation.,중요한 발표 중 손을 들며 회의를 방해하지 않으려고 노력했어요.
"During the important meeting, his unexpected request began to interrupt the ongoing conversation, causing confusion.",중요한 회의 도중 그의 예기치 않은 요청이 계속 진행되는 대화를 중단하여 혼란을 초래했어요.
Many experts advise that you invest in sustainable companies to achieve long term growth rapidly.,많은 전문가들이 미래의 안정된 성장을 위해 지속 가능한 기업에 꾸준히 자금을 투자하라고 조언해요.
The experienced dentist carefully examined my jaw and teeth before beginning my root canal procedure.,경험 많은 치과의사가 제 턱과 치아를 세심하게 검사한 후 근관 치료를 시작했어요.
The narrow lane beside the busy street was an ideal route for an evening walk.,바쁜 거리 옆의 좁은 길은 저녁 산책하기에 이상적인 경로였어요.
"The experienced driver quickly changed lane during heavy traffic, ensuring complete safety throughout the drive.",그 숙련된 운전사는 복잡한 교통 중에 신속하게 차선을 변경하며 완벽한 안전을 보장했어요.
"During the competitive swimming meet, every athlete was assigned a specific lane to maintain fairness.",경쟁이 치열한 수영 대회에서 모든 선수들이 공평함을 위해 특정 레인에 배정되었어요.
The company carefully ensured every step followed a legal protocol to comply with government regulations.,회사는 정부 규정을 준수하기 위해 모든 단계가 합법적인 절차를 따르도록 신중하게 확인했어요.
I always marvel at the stunning natural beauty displayed in the vibrant landscape during spring.,나는 봄에 펼쳐진 화사한 자연미를 보며 언제나 놀라와 감탄해요.
The mysterious ancient artifact remains a marvel of advanced technology that continuously baffles every expert.,"이 신비로운 고대 유물은 첨단 기술의 불가사의한 일로, 모든 전문가들을 계속 놀라게 만들어요."
The timeless fable offers a valuable moral lesson that encourages kindness and understanding toward others.,"시간이 흘러도 변치 않는 이 우화는 소중한 교훈을 주며, 다른 사람들에게 친절과 이해를 장려해요."
The professor explained a moral lesson that thoroughly taught students to act ethically and honestly.,교수님께서 학생들에게 도덕적인 교훈을 전하며 올바른 행동을 하도록 철저히 가르치셨어요.
"The dedicated CEO efficiently operates the innovative startup daily, ensuring smooth processes and continuous growth.",헌신적인 CEO는 혁신적인 신생 회사를 매일 효율적으로 운영하며 원활한 절차와 지속적인 성장을 보장했어요.
The technician had to carefully operate	the complex machinery to manufacture high quality products successfully.,기술자는 고품질 제품을 생산하기 위해	복잡한 기계를 조작해야 했어요.
The new computer system is specifically engineered to operate efficiently even during sudden power fluctuations.,새로운 컴퓨터 시스템은 갑작스런 전력 변동 중에도 작동되도록 특별히 설계되었어요.
The autumn landscape was particularly beautiful as the vibrant colors decorated every tree in sight.,"가을 풍경은 특히 아름다웠고, 모든 나무에 화려한 색상이 장식되어 있었어요."
The school's new policy significantly improved the learning environment and consistently engaged all students effectively.,학교의 새로운 정책은 학습 환경을 크게 향상시키고 모든 학생들을 꾸준히 참여시켰어요.
"Every quiet evening, I sincerely pray for peace and safety, desiring my family's well-being always.",매일 조용한 저녁마다 저는 가족들의 안녕을 위해 평화와 안전을 간절히 빌어요.
"The quiet, seemingly ordinary room was pregnant with hidden secrets that hinted at profound mystery.",그 조용하고 평범해 보이는 방은 숨겨진 비밀로 의미심장했어요.
"My sister, feeling joyful and carefully cautious, discovered she was pregnant during a routine checkup.",저의 자매는 기쁨과 신중함 속에 정기 검진 중 임신한 사실을 확인했어요.
The application procedure required several important forms and thorough in-depth verification details for final approval.,신청 절차에는 여러 중요한 서류와 철저한 검증 세부사항이 필요하여 최종 승인을 받았어요.
Our team decided to proceed boldly into the very challenging new project despite unexpected obstacles.,우리 팀은 예기치 못한 장애물에도 불구하고 매우 도전적인 새로운 프로젝트로 나아가기로 대담하게 결정했어요.
"After carefully reading the instructions, we decided to proceed with the project despite numerous uncertainties.","지시 사항을 주의 깊게 읽은 후, 우리는 여러 불확실성에도 불구하고 프로젝트를 계속 진행하기로 결정했어요."
I aspire to find a profession that challenges my skills and inspires creativity and growth.,저는 제 능력을 도전하게 하고 창의력과 성장을 불러일으키는 직업을 찾고 싶어요.
The company continues to progress in technology development remarkably steadily over the past several years.,회사는 지난 몇 년 동안 기술 개발 분야에서 눈에 띄게 발전해왔어요.
"Every day, the dedicated team works hard to progress steadily,	overcoming obstacles and reaching milestones.","매일, 헌신적인 팀이 열심히 노력하며 꾸준히 진척하고, 장애물을 극복하며 목표에 도달했어요."
The steady progress of our innovative research program clearly demonstrated significant growth and unexpected breakthroughs.,우리의 혁신적인 연구 프로그램의 꾸준한 경과가 상당한 성장과 예상치 못한 발전을 명확하게 보여줬어요.
Our team made considerable progress on our complex project after many weeks of hard work.,우리 팀은 여러 주의 노력 끝에 복잡한 프로젝트에 상당한 진전을 이루었어요.
The creative team made notable progress on the project despite facing several unexpected challenges today.,창의적인 팀은 여러 예기치 못한 어려움에도 불구하고 오늘 프로젝트에서 눈에 띄는 진행을 이루었어요.
The dedicated marketing team worked hard to promote the new product and increase brand awareness.,헌신적인 마케팅 팀이 새로운 제품을 홍보하고 브랜드 인지도를 높이기 위해 열심히 일했어요.
"The supervisor decided to promptly promote the diligent worker, appreciating his consistently excellent steady performance.","상사는 꾸준히 훌륭한 성과를 보인 근면한 직원을 인정하고, 즉시 진급시켰어요."
The new educational program was designed to promote community development and foster a healthier society.,새로운 교육 프로그램은 지역 사회 발전을 촉진하고 더욱 건강한 사회를 이루기 위해 설계되었어요.
The company worked hard to promote sustainable practices and increase industry productivity across the region.,회사는 지역 전반에 걸쳐 산업 생산성을 높이고 지속 가능한 실행을 증진시키기 위해 열심히 노력했어요.
"At the ceremony, the president will pronounce his speech, clearly stating the new policy publicly.",그 행사에서 대통령이 자신의 연설을 선언하며 새 정책을 분명하게 밝힐 거예요.
She carefully practiced every day to correctly pronounce every word in her advanced English lessons.,그녀는 매일 신중하게 연습하여 고급 영어 수업에서 모든 단어의 발음을 올바르게 했어요.
Every new language lesson improves my pronunciation gradually as I repeatedly practice new syllable sounds.,매번 새로운 언어 수업을 들을 때마다 제 발음이 점차 개선되는 것을 느꼈어요.
Tom carefully planned to propose to his longtime partner at sunset over the beautiful lake.,톰은 저녁 노을 아래 아름다운 호수 옆에서 오랜 사랑하는 파트너에게 청혼하려고 계획했어요.
"At the meeting, I plan to propose a new project idea to boost company performance.",회의에서 저는 회사 성과를 높이기 위한 새로운 프로젝트 아이디어를 제안할 거예요.
"When the government introduced a new law, citizens gathered outside to protest and express concerns.","정부가 새 법을 도입하자, 시민들이 밖에 모여 항의하고 우려를 표명했어요."
The protest at city hall	organized by citizens expressed strong feelings about the new law.,도시 시청 앞에서 시민들이 조직한 시위는 새로운 법에 대해 강한 감정을 드러냈어요.
"During the meeting, he expressed a protest that all opinions deserved equal respect and consideration.",회의 중에 그는 모든 의견이 똑같이 존중받아야 한다는 주장을 표현했어요.
Intense pressure forced the water to pump upward from the broken pipe by the park.,강한 압력 때문에 부서진 파이프에서 물이 위로 솟구쳤어요.
The construction workers used a giant pump to remove water from the flooded site.,건설 노동자들이 큰 펌프로 침수된 현장에서 물을 퍼내었어요.
The efficient mechanical pump in the old apartment building consistently delivered water during unexpected emergencies.,그 오래된 아파트 건물에 있는 효율적인 펌프는 예기치 못한 비상 상황에서 지속적으로 물을 공급해줬어요.
"The rapid runner quickly surpassed everyone, leaving his competitors far behind in the thrilling race.","빠른 달리기 선수가 모든 사람을 빠르게 앞지르며, 스릴 넘치는 경주에서 경쟁자들을 멀리 따돌렸어요."
"When unexpectedly confronted by harsh criticism, she would carefully react and adjust her strategy accordingly.","예기치 않게 혹독한 비판을 받았을 때, 그녀는 조심스럽게 반응하며 자신의 전략을 수정했어요."
"After a long period, the team managed to recover the lost files from the server.",오랜 시간 후 그 팀은 서버에서 잃어버린 파일들을 되찾아왔어요.
"After a severe illness, she worked hard to recover her strength and regain her confidence.",심각한 병을 앓은 후에 그녀는 체력을 회복하고 자신감을 되찾기 위해 열심히 노력했어요.
