textbook ID,제목,출판사,교육과정,Lesson,구분,Title,DESCRIPTION,Key Expression (영어),Key Expression (한국어),Sub Expression (영어),
,영어 2,천재(이),2015,1,function,My School Days,What’s your reason for ~? 을 활용해 이유 묻고 답하기.,What’s your reason for quitting your job?,네가 일을 그만두려는 이유가 뭐야?,Why do you want to ~? [SUB_EXPRESSION_,
,영어 2,천재(이),2015,2,function,Discover Cultures Around the World,I’m sure ~을 활용해 확실성 정도 표현하기.,I’m sure we’ll finish the project on time.,우리는 프로젝트를 제시간에 끝낼 수 있을 거라고 확신해.,I have no doubt that ~. I strongly believe that ~.,
,영어 2,천재(이),2015,3,function,Future of Money,He said that ~을 활용해 진술하기와 보고하기.,He said that he would be late.,그는 늦을 거라고 말했어.,She mentioned that ~. They told me that ~.,
,영어 2,천재(이),2015,4,function,"Bring Literature
into Your Life",Perhaps ~을 활용해 가능성 정도 표현하기.,Perhaps he missed the bus.,아마 그는 버스를 놓쳤을 거야.,It’s possible that ~. Maybe ~.,
,영어 2,천재(이),2015,5,function,ICT in Our Lives,"Without ~, ~ would not be ~을 활용해 가정하기. ","Without the internet, communication would not be as fast. ",인터넷이 없었다면 소통이 이렇게 빠르지 않았을 거야.,"If it weren’t for ~, ~. Had it not been for ~, ~. ",
,영어 2,천재(이),2015,6,function,"Reach Beyond
Ourselves",That’s a pity. 를 활용해 유감이나 동정 표현하기.,That’s a pity that we lost the game.,우리가 경기에서 졌다니 안타까워.,I feel sorry about ~. It’s unfortunate that ~.,
,영어,능률(김),2015,1,function,The Part You Play,should를 활용해 도덕적 의무 표현하기.,We should take better care of our surroundings.,우리 주변 환경을 더 잘 돌봐야 해요.,We ought to pay attention to ~. It is essential that we focus on ~.,
,영어,능률(김),2015,2,function,The Power of Creativity,It seems to me that ~의 구조를 활용해 의견이나 견해를 표현하기.,It seems to me that contemporary design integrates both form and function.,제 생각에는 현대 디자인은 형태와 기능을 모두 통합하는 것 같아요.,"From my point of view, ~. I’d say ~. ",
,영어,능률(김),2015,3,function,Sound Life,"다양한 표현으로 걱정, 두려움 표현하기 ",I feel anxious about starting a new job.,새로운 일을 시작하는 것이 걱정돼요.,I'm worried about ~ I'm concerned that ~,
,영어,능률(김),2015,4,function,Toward a Better World,비교급을 활용하여 선호를 표현하기,I believe exercising outdoors is better than staying indoors.,운동은 실내보다 야외에서 하는 것이 더 좋다고 믿어요.,"I find ~ more enjoyable than ~. In my opinion, ~ is preferable to ~. ",
,영어,능률(김),2015,5,function,What Matters Most,의문문 구조를 활용하여 상대의 관심사에 대해 묻기,What hobbies do you enjoy the most?,가장 좋아하는 취미는 무엇인가요?,What are you keen on ~? What do you find interesting about ~?,
,영어,능률(김),2015,6,function,Beyond the Limits,다양한 표현으로 놀람 표현하기,I'm astonished by her ability to solve such complex problems so quickly.,그녀가 그렇게 복잡한 문제를 빠르게 해결하는 능력에 놀랐어요.,Isn't it impressive how ~? I'm amazed at the way ~!,
,영어,능률(김),2015,7,function,Finding Out the Wonders,의견을 묻기 위해 의문사를 사용하여 표현하기.,What is your opinion about this event?,이 행사에 대해 어떻게 생각하세요?,How do you feel about ~? What are your thoughts on ~?,
,영어,능률(김),2015,8,function,It’s Up to You!,확실성이 적은 정도를 표현하기,I'm uncertain about this situation.,이 상황이 확신이 안 서요.,I am unlikely to be sure about ~. I don't feel totally confident regarding ~.,
,영어,능률(양),2015,1,function,Where Should I Begin?,why don’t you 를 활용해 제안하기,Why don’t you take part in the Language Exchange Program?,언어 교환 프로그램에 참여해 보는 게 어때요?,Why don’t you consider ~? Why don’t you start ~?,
,영어,능률(양),2015,2,function,"Be Smart, Be Healthy",It's ~ to ~를 활용하여 중요성 강조하기.,It's essential to maintain consistent sleep habits for health.,건강을 위해 일정한 수면 습관을 유지하는 것이 중요해요.,It's crucial to ~ to ensure ~. It's beneficial to ~ for maintaining ~.,
,영어,능률(양),2015,3,function,"Take Action, Make a Difference",다양한 표현으로 도움 제안하기,Could I assist you with anything?,제가 도와드릴 일이 있을까요?,May I lend a hand with ~? Is there something I could help you with?,
,영어,능률(양),2015,4,function,"Some Like It Cold, Some Like It Hot",현재완료형을 활용해 특정 정보에 대해 알고 있는지를 묻기,Have you come across the term Silla Dynasty before?,신라 왕조라는 용어를 들어본 적이 있나요?,Are you aware of ~? Do you have knowledge about ~?,
,영어,능률(양),2015,5,function,We Are What We Do,ought to ~'를 활용해 도덕적 의무 표현하기,We must recycle materials to conserve natural resources.,천연 자원을 보호하려면 반드시 재활용해야 해요.,You ought to care about ~ to improve matters. One should consider ~ to make an ethical decision.,
,영어,능률(양),2015,6,function,When Myths Meet Science,의문사 why와 명제를 포함한 간접적인 궁금증 표현을 활용하여 호기심 표현하기.,I wonder why the stars twinkle at night.,밤에 별이 반짝이는 이유가 궁금해요.,I can't help but ask why ~. I'm curious to know why ~.,
,영어,능률(양),2015,7,function,Venice Diary,공손한 요청을 위해 'Could you ~'를 활용하여 요청하기,Could you please provide more details about the event?,행사에 대한 자세한 내용을 알려주실 수 있나요?,Could you kindly ~? Could you please ~?,
,영어,능률(양),2015,8,function,The Solution Is in Nature,You're not supposed to ~을 활용해 허용되지 않음을 표현하기.,You're not supposed to run in the hallway.,복도에서 뛰면 안 돼요.,It's against the rules to ~. You shouldn't ~ here.,
,영어 1,능률(김),2015,1,function,A Spark in You,have got ~을 활용해 모르고 있는 상태 표현하기.',I have absolutely no idea.,전혀 모르겠어요.,I haven't got the slightest clue. I am not sure at all.,
,영어 1,능률(김),2015,2,function,Embracing Our Differences,I heard that ...을 이용해 정보를 알고 있음을 표현하기.,I heard that she received a promotion.,그녀가 승진했다는 소식을 들었어요.,I was informed that ~. I'm aware that ~.,
,영어 1,능률(김),2015,3,function,We Are All Connected,정중한 요청이나 질문 시 사용되는 Could you ~ ~를 활용해 설명 요청하기.,Could you explain the process in more detail?,그 과정에 대해 좀 더 자세히 설명해 주실 수 있나요?,Could you expand on ~? Could you clarify ~ for me?,
,영어 1,능률(김),2015,4,function,Build a Better World,감탄문을 활용하여 놀라움이나 감탄 표현하기.,What an amazing sight!,정말 놀라운 광경이에요!,What a wonderful ~! What an incredible ~!,
,영어 1,능률(김),2015,5,function,"Look, Think, and Create!",다양한 표현으로 놀람 표현하기,It's astonishing how nature inspires human inventions.,자연이 인간의 발명을 어떻게 영감 주는지 놀라워요.,It's unbelievable that ~ can achieve such results. It amazes me that ~ happens so effectively.,
,영어 2,능률(김),2015,1,function,Treasure in My Life,can you ~를 활용해 요청하기,Could you suggest an option for me?,저에게 어떤 선택지를 추천해 주실 수 있나요?,Would you mind recommending ~? Do you think you could suggest ~?,
,영어 2,능률(김),2015,2,function,In Someone Else’s Shoes,의문문을 활용하여 확인 요청하기.,Are you referring to the document titled 'Analysis Report'?,‘분석 보고서’라는 제목의 문서를 말하는 건가요?,Would you clarify if you mean ~? Are you suggesting that this involves ~?,
,영어 2,능률(김),2015,3,function,Be a Critical Thinker,It is ~ to ~를 활용해 의무나 필요성 표현하기.,It is important to review the instructions carefully.,설명서를 꼼꼼히 검토하는 것이 중요해요.,It is essential to ~ thoroughly. It is obligatory to ~ promptly.,
,영어 2,능률(김),2015,4,function,Find and Do What You Love,의문사 절을 이용해 궁금증 표현하기,I wonder what causes the unusual weather recently.,최근의 이상 기후가 무엇 때문에 발생하는지 궁금해요.,I am curious about who ~ could be. I can't help but think about why ~.,
,영어 2,능률(김),2015,5,function,Technology: An Engine for Change,다양한 표현으로 이의 제기하기,I'm not sure I can fully agree with that.,그 의견에 완전히 동의한다고는 말할 수 없어요.,I have a different perspective. That's not how I see it.,
,공통영어 1,YBM(박),2022,1,function,Enrich Your Life,be thinking of ~를 활용해 어떤 행동을 할 계획이나 의도를 표현하기.,A: Do you have any plans for after school? B: I’m thinking of joining the school choir.,A: 방과 후에 어떤 계획 있어? B: 나는 학교 합창단에 가입할까 생각 중이야.,"A: Are you thinking of ~? B: Yes, I might do that. A: I'm thinking of ~ next semester. B: That sounds interesting! ",
,공통영어 1,YBM(박),2022,2,function,Explore Wildlife Wonders,be interested in ~를 활용해 어떤 것에 관심이 있음을 표현하기.,A: What subject do you like the most? B: I’m interested in studying foreign languages.,A: 네가 가장 좋아하는 과목은 뭐야? B: 나는 외국어 공부에 관심이 있어.,"A: Are you interested in ~? B: Yes, I love it! A: I’m interested in ~ because it’s fun. B: That’s cool! ",
,공통영어 1,YBM(박),2022,3,function,"Embrace Diversity, Broaden Your Horizons",다양한 표현을 활용해 놀라움을 나타내기.,A: Did you know that I love history? B: I’m surprised that you are interested in that topic.,A: 내가 역사 좋아하는 거 알고 있었어? B: 네가 그 주제에 관심이 있다니 놀랍다!,A: I’m surprised that ~ is true. B: Me too! A: I’m surprised that ~ happened so quickly. B: I didn’t expect that either!,
,공통영어 1,YBM(박),2022,4,function,When Art Meets Technology,be looking forward to ~를 활용해 미래의 기대나 희망을 표현하기.,A: The concert is next week! B: I’m looking forward to listening to it.,A: 콘서트가 다음 주야! B: 나는 그걸 듣는 게 기대돼.,"A: Are you looking forward to ~? B: Yes, I can't wait! A: I’m looking forward to ~ because it will be fun. B: That sounds exciting! ",
,공통영어 2,YBM(박),2022,1,function,Be Digitally Smart!,be expected to ~를 활용해 해야 하는 의무를 표현하기.,A: What should I do when using social media? B: You’re expected to manage your digital footprints carefully.,A: 소셜 미디어를 사용할 때 뭘 해야 해? B: 너는 디지털 흔적을 신중하게 관리해야 해.,A: You’re expected to ~ when ~. B: I understand. A: People are expected to ~. B: That makes sense.,
,공통영어 2,YBM(박),2022,2,function,Urgent Call From Earth,Have you heard of ~?를 활용해 무언가를 알고 있는지 묻기.,"A: Have you heard of trees releasing moisture into the atmosphere? B: No, that sounds interesting! ","A: 나무가 대기로 수분을 방출한다는 걸 들어본 적 있어? B: 아니, 흥미롭다! ","A: Have you heard of ~? B: Yes, I have! A: Do you know about ~? B: No, tell me more! ",
,공통영어 2,YBM(박),2022,3,function,Rise Above Challenges,다양한 표현을 활용해 격려의 말을 건네기.,A: I don’t think I can do this. B: You can do it!,A: 나는 이걸 못할 것 같아. B: 넌 할 수 있어!,A: Believe in yourself! B: I’ll try! A: Keep going! B: Thanks for your support!,
,공통영어 2,YBM(박),2022,4,function,Creative Ideas for a Better World,Why don’t we ~?를 활용해 제안을 하거나 함께 할 것을 권유하기.,A: I feel like we should do something meaningful. B: Why don’t we take action and create changes in our lives?,A: 우리 뭔가 의미 있는 일을 해야 할 것 같아. B: 우리 직접 행동해서 변화를 만들어 보면 어때?,A: Why don’t we ~ together? B: That sounds great! A: How about ~? B: That’s a good idea!,
,영어,YBM(박),2015,1,function,Dream It and Achieve It,be good at ~를 활용해 능력을 표현하기.,A: Can you dance? B: I’m good at street dance.,A: 너 춤출 수 있어? B: 나는 스트리트 댄스를 잘해.,"A: Are you good at ~? B: Yes, I practice a lot! A: I’m good at ~ because I trained hard. B: That’s impressive! ",
,영어,YBM(박),2015,2,function,Color Your Language,다양한 표현을 활용해 오해를 지적하기.,A: So you don’t like this movie? B: That’s not what I mean.,A: 그래서 네가 이 영화를 안 좋아한다는 거야? B: 그게 내가 말한 뜻이 아니야.,"A: That’s not what I meant. B: Oh, then what did you mean? A: I didn’t mean ~. B: I see, I misunderstood. ",
,영어,YBM(박),2015,3,function,Enjoy the Tasty World,Can you ~?를 활용해 요청하기.,A: I bought some cookies. B: Can you wrap them separately?,A: 쿠키를 좀 샀어. B: 따로 포장해 줄 수 있어?,A: Can you help me ~? B: Of course! A: Could you please ~? B: No problem!,
,영어,YBM(박),2015,4,function,Preparing for Weather,Make sure you don’t ~를 활용해 경고하기.,A: It’s going to rain soon. B: Make sure you don’t leave the windows open.,A: 곧 비 올 거야. B: 창문을 열어 두지 않도록 해.,A: Make sure you don’t forget ~. B: I’ll be careful. A: Be sure not to ~. B: Thanks for the warning!,
,영어,YBM(박),2015,5,function,The Joy of Appreciating Art,It seems that ~를 활용해 의견을 표현하기.,A: What’s this movie about? B: It seems that it’s about brave heroes.,A: 이 영화는 어떤 내용이야? B: 용감한 영웅들에 대한 이야기인 것 같아.,A: It seems that ~ is true. B: That makes sense. A: It looks like ~. B: I think so too.,
,영어,YBM(박),2015,6,function,Traveling for Volunteer Work,should ~를 활용해 도덕적 의무를 표현하기.,A: I want to help others. B: You should volunteer with a good heart.,A: 나는 다른 사람들을 돕고 싶어. B: 너는 좋은 마음으로 자원봉사를 해야 해.,A: You should ~ if you can. B: I agree. A: People should ~. B: That’s true.,
,영어,YBM(박),2015,7,function,Bringing Creativity into Our Lives,Why don’t we ~?를 활용해 제안하기.,A: The corners of the table are sharp. B: Why don’t we cover the edges with tape?,A: 테이블 모서리가 날카로워. B: 모서리를 테이프로 덮는 게 어때?,A: Why don’t we ~ together? B: That sounds like a good idea! A: How about ~? B: Let’s do that!,
,영어,YBM(박),2015,8,function,"Green Life, Green Earth",It is important to ~를 활용해 강조하기.,A: It’s really cold today. B: It is important to wear warm clothing instead of using heaters.,A: 오늘 진짜 춥다. B: 난방기 대신 따뜻한 옷을 입는 게 중요해.,A: It’s important to ~ for safety. B: That’s true. A: We should focus on ~. B: I agree.,
,영어,YBM(박),2015,9,function,What Makes Sports More Exciting,다양한 표현을 활용해 놀람을 표현하기.,A: Did you know that she climbed Mount Everest? B: That’s surprising!,"A: 그녀가 에베레스트를 올랐다는 거 알고 있었어? B: 와, 놀랍다! ","A: I can’t believe ~. B: Me neither! A: That’s amazing! B: I know, right? ",
,영어,YBM(박),2015,10,function,Feel What Others Feel,will probably ~를 활용해 가능성을 표현하기.,A: Will this solution work? B: It will probably solve the problem.,A: 이 해결책이 효과가 있을까? B: 아마 문제를 해결할 거야.,A: It will probably ~. B: I think so too. A: There’s a high chance that ~. B: Let’s hope for the best!,
,영어,YBM(한),2015,1,function,"A Fresh New
 Start",be interested in ~를 활용해 관심을 표현하기.,A: What do you enjoy doing? B: I’m interested in drawing cartoons.,A: 너는 뭐 하는 걸 좋아해? B: 나는 만화 그리는 것에 관심이 있어.,"A: Are you interested in ~? B: Yes, I enjoy it a lot! A: I’m interested in ~ because it’s fun. B: That sounds great! ",
,영어,YBM(한),2015,2,function,"Working
 Together",be sure that ~를 활용해 확신을 표현하기.,A: Do you think we will succeed? B: I’m sure that we will achieve the goals.,A: 우리가 성공할 거라고 생각해? B: 나는 우리가 목표를 이룰 거라고 확신해.,A: I’m sure that ~. B: I believe so too. A: I have no doubt that ~. B: That’s a great mindset.,
,영어,YBM(한),2015,3,function,"Eat Right,
 Be Healthy",Why don’t you ~?를 활용해 충고하기.,A: My shoulders hurt from sitting too long. B: Why don’t you stretch from time to time?,A: 너무 오래 앉아 있어서 어깨가 아파. B: 가끔씩 스트레칭하는 게 어때?,A: Why don’t you ~? B: That’s a good idea. A: You should try ~. B: I’ll give it a shot.,
,영어,YBM(한),2015,4,function,"Invention for
 the Rainforests",Why don’t we ~?를 활용해 제안하기.,A: We need to reduce plastic waste. B: Why don’t we use eco-friendly bags?,A: 우리는 플라스틱 쓰레기를 줄여야 해. B: 친환경 가방을 사용하는 게 어때?,A: Why don’t we ~ together? B: That’s a great idea! A: How about ~? B: Let’s do it!,
,영어,YBM(한),2015,5,function,"How to Win
 Over Someone's
 Mind",I think ~를 활용해 의견을 표현하기.,A: Why do people like talking to her? B: I think it’s because she's a good listener.,A: 사람들이 왜 그녀와 이야기하는 걸 좋아할까? B: 내 생각엔 그녀가 경청을 잘하기 때문이야.,"A: I think ~ is the reason. B: That makes sense. A: In my opinion, ~. B: I see what you mean. ",
,영어,YBM(한),2015,6,function,"The Most
 Efficient Job in
 the World",be planning to ~를 활용해 계획을 표현하기.,A: Do you have any travel plans? B: I’m planning to go to Agra and see the Taj Mahal.,A: 여행 계획 있어? B: 나는 아그라에 가서 타지마할을 볼 계획이야.,"A: I’m planning to ~ next year. B: That sounds exciting! A: Are you planning to ~? B: Yes, I’m really looking forward to it. ",
,영어,YBM(한),2015,7,function,"Amazing
 Architecture",What else do you know about ~?를 활용해 상세한 설명 요청하기.,A: This place is famous for its food. B: What else do you know about it?,A: 이곳은 음식으로 유명해. B: 그 밖에 또 뭐 알아?,"A: What more can you tell me about ~? B: Well, ~. A: Do you know any other facts about ~? B: Yes, actually ~. ",
,영어,YBM(한),2015,8,function," Living with
 Robots",Don’t you agree?를 활용해 동의 여부 묻기.,A: This is the best book I’ve ever read. B: Don’t you agree?,A: 이건 내가 읽어본 책 중 최고야. B: 너도 그렇게 생각하지 않아?,"A: Don’t you think ~? B: Yes, I do. A: Would you agree that ~? B: Absolutely. ",
,영어 1,YBM(박),2015,1,function,"Healthy Living, Happy Life",be worried about ~를 활용해 걱정을 표현하기.,A: Are you okay? B: I’m worried about my health.,A: 너 괜찮아? B: 나는 내 건강이 걱정돼.,A: I’m worried about ~. B: I understand. A: I feel anxious about ~. B: I hope things get better.,
,영어 1,YBM(박),2015,2,function,Origins of Everyday Things,"By the way, ~?를 활용해 자연스럽게 주제 바꾸기. ","A: Chess is a very strategic game. B: By the way, do you know the rules of chess? ",A: 체스는 전략적인 게임이야. B: 그런데 체스 규칙을 알고 있어?,"A: By the way, have you heard about ~? B: No, tell me! A: Speaking of ~, do you know ~? B: Yes, I do. ",
,영어 1,YBM(박),2015,3,function,Advertising in Your Life,What’s the matter?를 활용해 부정적 감정의 이유 묻기.,A: You look upset. B: What’s the matter?,A: 너 기분 안 좋아 보여. B: 무슨 일 있어?,"A: What’s wrong? B: I’m just feeling down. A: Is something bothering you? B: Yeah, kind of. ",
,영어 1,YBM(박),2015,4,function,Becoming Active as Consumers and Sellers,What do you think about ~?를 활용해 의견 묻기.,A: Group buying is getting more common. B: What do you think about it?,A: 공동구매가 점점 더 흔해지고 있어. B: 그거에 대해 어떻게 생각해?,A: What’s your opinion on ~? B: I think it’s great. A: How do you feel about ~? B: I’m not sure.,
,영어 1,YBM(박),2015,5,function,Cultures Around the World,It’s a kind of ~를 활용해 설명하기.,A: What is Arirang? B: It’s a kind of Korean folk song with various verses.,A: 아리랑이 뭐야? B: 다양한 가사가 있는 한국 전통 민요야.,A: It’s a type of ~. B: I see. A: It belongs to the category of ~. B: That sounds interesting.,
,영어 1,YBM(박),2015,6,function,The Future of Space Exploration,I wish I could ~를 활용해 바람이나 소원을 표현하기.,A: Space exploration sounds exciting. B: I wish I could explore the moon.,A: 우주 탐사가 멋지게 들려. B: 나는 달을 탐험할 수 있으면 좋겠어.,A: I hope I can ~. B: That would be amazing! A: I dream of ~. B: I hope your dream comes true.,
,영어 1,YBM(한),2015,1,function,Learn from Failures,I think you should ~를 활용해 조언하기.,A: I feel so tired these days. B: I think you should get some rest.,A: 요즘 너무 피곤해. B: 나는 네가 좀 쉬어야 한다고 생각해.,A: You should try ~. B: That sounds like a good idea. A: Why don’t you ~? B: I’ll consider it.,
,영어 1,YBM(한),2015,2,function,Technology and Life,Do you see what I mean?를 활용해 이해했는지 확인하기.,"A: So, this is how the game works. B: Do you see what I mean? ",A: 그래서 이게 게임이 작동하는 방식이야. B: 내 말 이해돼?,"A: Do you understand what I’m saying? B: Yes, I get it. A: Does that make sense? B: Yes, thanks for explaining. ",
,영어 1,YBM(한),2015,3,function,Extend Your View of Art,"In my opinion, ~를 활용해 의견을 표현하기. ","A: She always solves problems quickly. B: In my opinion, she is a genius. ",A: 그녀는 항상 문제를 빨리 해결해. B: 내 생각에 그녀는 천재야.,"A: In my opinion, ~ is the best choice. B: I see what you mean. A: I believe that ~. B: That’s an interesting perspective. ",
,영어 1,YBM(한),2015,4,function,A Trip for Cultural Diversity,Don’t forget to ~를 활용해 기억하도록 당부하기.,A: We have to leave early tomorrow. B: Don’t forget to set the alarm so we get up early in the morning.,A: 내일 일찍 출발해야 해. B: 아침에 일찍 일어나려면 알람 맞추는 거 잊지 마.,A: Don’t forget to ~. B: I won’t! A: Be sure to ~. B: Thanks for reminding me.,
,영어 1,YBM(한),2015,5,function,The Small but Great Potato,I agree [disagree] with ~를 활용해 찬성 또는 반대 표현하기.,A: I think technology has made our lives easier. B: I agree with your point.,A: 나는 기술이 우리의 삶을 더 편리하게 만들었다고 생각해. B: 네 의견에 동의해.,"A: I agree with ~. B: So do I. A: I disagree with ~. B: I see your point, but I think differently. ",
,영어 1,YBM(한),2015,6,function,Nature and Environment,It’s likely that ~를 활용해 가능성을 표현하기.,A: What caused the landslide? B: It’s likely that logging may have contributed to the landslide.,A: 산사태의 원인이 뭐야? B: 벌목이 산사태에 영향을 줬을 가능성이 높아.,A: It’s likely that ~ will happen. B: That makes sense. A: There’s a good chance that ~. B: I think so too.,
,영어 2,YBM(박),2015,1,function,Treasure out of Trash,기쁘거나 만족스러운 감정을 표현할 때 사용하는 표현.,A: I decided to recycle my old clothes. B: I’m glad to give it a second chance.,A: 나는 내 헌 옷을 재활용하기로 했어. B: 그것을 다시 사용할 수 있어서 기뻐.,A: I’m happy to ~. B: That’s great to hear! A: I feel good about ~. B: Me too!,
,영어 2,YBM(박),2015,2,function,We Are Stronger Together,상대방이 걱정하거나 불안해할 때 안심시키는 표현.,A: I’m worried about the team project. B: It’s going to be okay if they have specific roles.,A: 팀 프로젝트가 걱정돼. B: 역할이 명확하면 괜찮을 거야.,"A: Don’t worry, everything will be fine. B: I hope so. A: Everything will be okay soon. B: Thanks, that makes me feel better. ",
,영어 2,YBM(박),2015,3,function,Fun Science about the Human Body,상대방의 말을 정확히 이해했는지 확인하는 표현.,A: Different colors can influence our emotions. B: Do you mean that colors affect our mood?,A: 다양한 색이 우리의 감정에 영향을 줄 수 있어. B: 그러니까 색이 기분에 영향을 미친다는 거야?,"A: Are you saying that ~? B: Yes, exactly! A: Do you mean ~? B: That’s right. ",
,영어 2,YBM(박),2015,4,function,Equality for All,상대방이 과거의 경험이나 정보를 기억하는지 물을 때 사용하는 표현.,"A: Do you remember our social studies class about human rights? B: Yes, it was very interesting. ","A: 우리 사회 과목에서 인권에 대해 배운 거 기억해? B: 응, 정말 흥미로웠어. ","A: Do you recall ~? B: Yes, I do. A: Can you remember ~? B: Not really. ",
,영어 2,YBM(박),2015,5,function,Sharing the Planet with Every Creature,ought to ~를 활용해 해야 할 의무를 나타내기.,A: Pesticides harm the environment. B: We ought to reduce our use of pesticides.,A: 농약이 환경에 해를 끼쳐. B: 우리는 농약 사용을 줄여야 해.,A: We should try to ~. B: That’s true. A: It’s necessary to ~. B: Absolutely.,
,영어 2,YBM(박),2015,6,function,Humans and Technology,다양한 표현을 활용해 가상의 상황을 가정하여 이야기하기.,A: What if people don’t pay? B: Then we’ll need a backup plan.,A: 만약 사람들이 돈을 안 내면 어쩌지? B: 그러면 대책이 필요할 거야.,A: What if ~ happens? B: We should prepare for that. A: Imagine if ~. B: That would be interesting!,
,영어 2,YBM(한),2015,1,function,"Microbes and
 Health",다양한 표현을 활용해 상대방의 오해나 착오를 바로잡기.,A: So you think this rule applies to everyone? B: I’m afraid that’s not true.,A: 그래서 네 생각에는 이 규칙이 모두에게 적용된다는 거야? B: 유감이지만 그렇지 않아.,"A: Actually, that’s not correct. B: Oh, I didn’t know that. A: I’m sorry, but that’s not quite right. B: I see, thanks for telling me. ",
,영어 2,YBM(한),2015,2,function,"Lesson 2
 Money
 Matters",다양한 표현을 활용해 만족이나 불만족을 나타내기.,A: How do you feel about your purchases? B: I’m satisfied with my purchases.,A: 네가 산 물건들에 대해 어떻게 생각해? B: 나는 내 구매에 만족해.,A: I’m happy with ~. B: That’s great! A: I’m not happy with ~. B: I see what you mean.,
,영어 2,YBM(한),2015,3,function,"Lesson 3 
 Gift and
 Achievement",I think ~ will help.를 활용해 결과나 효과를 예상하기.,A: I’m thinking of studying one more hour every day. B: I think that will help.,A: 나는 매일 한 시간 더 공부할까 생각 중이야. B: 그게 도움이 될 것 같아.,A: That might make a difference. B: I’ll give it a try. A: It’s possible that ~. B: I hope so.,
,영어 2,YBM(한),2015,4,function,"Lesson 4
 Look into
 Your Mind",You ought to ~를 활용해 상대방에게 행동을 추천하거나 충고하기.,A: My desk is always messy. B: You ought to organize your desk.,A: 내 책상이 항상 지저분해. B: 너는 책상을 정리하는 게 좋아.,A: You should try to ~. B: That’s a good idea. A: It would be better to ~. B: I’ll consider that.,
,영어 2,YBM(한),2015,5,function,"Lesson 5
 Exploring
 the Universe",다양한 표현을 활용해 감정을 나타내기.,A: Did you know that some turtles live for over 100 years? B: That’s interesting.,A: 어떤 거북이는 100년 이상 산다는 거 알고 있었어? B: 흥미롭다.,A: That’s amazing! B: I didn’t know that. A: How fascinating! B: Right? It’s so cool.,
,영어 2,YBM(한),2015,6,function,"Lesson 6
 Culture and
 Heritage",다양한 표현을 활용해 확신이 없음을 나타내기.,"A: There’s a music festival on Friday. B: That sounds really interesting, but I’m not sure I’ll be available on Friday. ","A: 금요일에 음악 축제가 있어. B: 정말 흥미로울 것 같은데, 금요일에 시간이 될지 모르겠어. ",A: I might not be able to ~. B: Let me check my schedule. A: I’m not sure if ~. B: I’ll let you know later.,
,영어,비상,2015,1,function,Envision,I think you should ~를 활용해 충고하기.,A: I don’t know what career to choose. B: I think you should talk to a career mentor.,A: 어떤 직업을 선택해야 할지 모르겠어. B: 나는 네가 진로 멘토와 상담해 보는 게 좋다고 생각해.,A: You should consider ~. B: I’ll think about it. A: Why don’t you try ~? B: That’s a good idea.,
,영어,비상,2015,2,function,Express,I wonder if ~를 활용해 궁금한 점을 표현하기.,A: Do you have a bigger size of this? B: I wonder if you have a bigger one.,A: 이거 더 큰 사이즈 있어요? B: 혹시 더 큰 사이즈가 있나 궁금해요.,"A: I’d like to know if ~. B: Let me check. A: Do you happen to know if ~? B: I’m not sure, but I can ask. ",
,영어,비상,2015,3,function,Contribute,It’s important that ~를 활용해 중요한 점을 강조하기.,A: Why should we care about the environment? B: It’s important that you care about the planet.,A: 왜 우리가 환경을 신경 써야 해? B: 지구를 아끼는 것이 중요해.,A: It’s essential that ~. B: I totally agree. A: We must remember that ~. B: That’s true.,
,영어,비상,2015,4,function,Explore,Could I ask you to ~?를 활용해 정중하게 요청하기.,A: I want to explore the city tonight. B: Could I ask you to recommend a good place to visit tonight?,A: 오늘 밤에 시내를 돌아보고 싶어. B: 좋은 방문 장소를 추천해 줄 수 있어?,"A: Would you mind ~? B: Sure, no problem. A: Can you help me ~? B: Of course! ",
,영어,비상,2015,5,function,Collaborate,Why don’t you ~?를 활용해 상대방에게 제안하거나 권유하기.,A: I want to do something meaningful. B: Why don’t you bring some items to donate?,A: 의미 있는 일을 하고 싶어. B: 기부할 물건을 가져오는 게 어때?,"A: How about ~? B: That sounds like a good idea. A: Would you like to ~? B: Yes, I’d love to! ",
,영어,비상,2015,6,function,Decide,Are you sure ~?를 활용해 확실성을 확인하기.,A: I think this fits perfectly. B: Are you sure it fits correctly?,A: 이게 완벽하게 맞는 것 같아. B: 그게 제대로 맞는지 확실해?,"A: Do you really think ~? B: Yes, I’m sure. A: Are you certain that ~? B: Pretty much. ",
,영어,비상,2015,7,function,Observe,It’s likely that ~를 활용해 가능성을 표현하기.,A: Will NFC be used more in the future? B: It’s likely that you’ll be able to find NFC in more things in the future.,A: 앞으로 NFC가 더 많이 사용될까? B: 앞으로 더 많은 곳에서 NFC를 찾을 수 있을 가능성이 높아.,A: There’s a good chance that ~. B: That makes sense. A: It’s possible that ~. B: I think so too.,
,영어,비상,2015,8,function,Appreciate,This means ~를 활용해 개념이나 용어를 정의하기.,A: What does it mean when an artist mixes different styles? B: This means he borrowed artistic styles from prehistoric peoples.,A: 예술가가 다양한 스타일을 섞는다는 건 무슨 뜻이야? B: 이것은 그가 선사 시대 사람들의 예술적 스타일을 차용했다는 뜻이야.,"A: In other words, it means ~. B: Oh, I see. A: This refers to ~. B: That makes sense. ",
